Rank Number,Protein Name,C1,C2,C3,c,MAX,SUM
1085,>sp|Q04603|DPB4_YEAST DNA polymerase epsilon subunit D OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPB4 PE=1 SV=1,1,2,3,0,3,6
1086,>sp|Q08229|NBA1_YEAST Protein NBA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NBA1 PE=1 SV=1,3,3,NaN,0,3,6
1087,>sp|Q3E754|RS21B_YEAST 40S ribosomal protein S21-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS21B PE=1 SV=1,2,3,1,0,3,6
1088,>tr|C8Z582|C8Z582_YEAS8 Stb3p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1D0_4291g PE=4 SV=1,3,3,NaN,0,3,6
1089,>sp|A7A1P0|STE11_YEAS7 Serine/threonine-protein kinase STE11 OS=Saccharomyces cerevisiae (strain YJM789) GN=STE11 PE=3 SV=1,3,2,NaN,0,3,5
1090,>sp|B3LP25|MDG1_YEAS1 Signal transduction protein MDG1 OS=Saccharomyces cerevisiae (strain RM11-1a) GN=MDG1 PE=3 SV=1,2,3,NaN,0,3,5
1091,>sp|P08465|MET2_YEAST Homoserine O-acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET2 PE=1 SV=2,NaN,3,2,0,3,5
1092,>sp|P14747|PP2B2_YEAST Serine/threonine-protein phosphatase 2B catalytic subunit A2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CMP2 PE=1 SV=2,NaN,2,3,0,3,5
1093,>sp|P21264|PUR6_YEAST Phosphoribosylaminoimidazole carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE2 PE=1 SV=1,3,2,NaN,0,3,5
1094,>sp|P23285|CYPB_YEAST Peptidyl-prolyl cis-trans isomerase B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPR2 PE=1 SV=1,2,3,NaN,0,3,5
1095,>sp|P24280|SEC14_YEAST SEC14 cytosolic factor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC14 PE=1 SV=3,3,2,NaN,0,3,5
1096,>sp|P32179|MET22_YEAST 3'(2')-5'-bisphosphate nucleotidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET22 PE=1 SV=1,3,2,NaN,0,3,5
1097,>sp|P32379|PSA5_YEAST Proteasome subunit alpha type-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUP2 PE=1 SV=2,1,3,1,0,3,5
1098,>sp|P32496|RPN12_YEAST 26S proteasome regulatory subunit RPN12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN12 PE=1 SV=3,2,3,NaN,0,3,5
1099,>sp|P33204|ARPC4_YEAST Actin-related protein 2/3 complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC19 PE=1 SV=2,3,2,NaN,0,3,5
1100,>sp|P36047|SDS22_YEAST Protein phosphatase 1 regulatory subunit SDS22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDS22 PE=1 SV=1,2,3,NaN,0,3,5
1101,>sp|P40093|YEY6_YEAST UPF0160 protein YER156C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YER156C PE=1 SV=1,NaN,2,3,0,3,5
1102,>sp|P40165|NNRE_YEAST NAD(P)H-hydrate epimerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL200C PE=1 SV=1,2,3,NaN,0,3,5
1103,>sp|P40513|MAM33_YEAST Mitochondrial acidic protein MAM33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAM33 PE=1 SV=1,3,2,NaN,0,3,5
1104,>sp|P42839|VNX1_YEAST Low affinity vacuolar monovalent cation/H(+) antiporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VNX1 PE=1 SV=1,3,2,NaN,0,3,5
1105,>sp|P43564|YFD4_YEAST Uncharacterized membrane protein YFL034W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFL034W PE=1 SV=2,2,NaN,3,0,3,5
1106,>sp|P43567|AGX1_YEAST Alanine--glyoxylate aminotransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AGX1 PE=1 SV=1,2,3,NaN,0,3,5
1107,>sp|P46151|MTHR1_YEAST Methylenetetrahydrofolate reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET12 PE=1 SV=2,3,2,NaN,0,3,5
1108,>sp|P53903|PGA2_YEAST Processing of GAS1 and ALP protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGA2 PE=1 SV=3,2,3,NaN,0,3,5
1109,>sp|Q02821|IMA1_YEAST Importin subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRP1 PE=1 SV=1,2,3,NaN,0,3,5
1110,>sp|Q03254|FCP1_YEAST RNA polymerase II subunit A C-terminal domain phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FCP1 PE=1 SV=1,1,3,1,0,3,5
1111,>sp|Q03940|RUVB1_YEAST RuvB-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RVB1 PE=1 SV=1,3,2,NaN,0,3,5
1112,>sp|Q04341|MIX14_YEAST Mitochondrial intermembrane space cysteine motif-containing protein MIX14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIX14 PE=4 SV=1,2,3,NaN,0,3,5
1113,>sp|Q04511|UFO1_YEAST Ubiquitin ligase complex F-box protein UFO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UFO1 PE=1 SV=1,NaN,2,3,0,3,5
1114,>sp|Q08492|BUD21_YEAST Bud site selection protein 21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD21 PE=1 SV=1,3,2,NaN,0,3,5
1115,>sp|Q12522|IF6_YEAST Eukaryotic translation initiation factor 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF6 PE=1 SV=1,3,2,NaN,0,3,5
1116,>sp|Q2V2P7|YD461_YEAST Uncharacterized protein YDR461C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR461C-A PE=4 SV=1,3,2,NaN,0,3,5
1117,>sp|Q3E841|YN034_YEAST Uncharacterized protein YNR034W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNR034W-A PE=1 SV=1,3,2,NaN,0,3,5
1118,>tr|B5VL88|B5VL88_YEAS6 YJL088Wp-like protein OS=Saccharomyces cerevisiae (strain AWRI1631) GN=AWRI1631_101140 PE=3 SV=1,3,2,NaN,0,3,5
1119,>tr|C7GLX9|C7GLX9_YEAS2 Kinase OS=Saccharomyces cerevisiae (strain JAY291) GN=KCS1 PE=3 SV=1,3,NaN,2,0,3,5
1120,>tr|C7GMY4|C7GMY4_YEAS2 Enp1p OS=Saccharomyces cerevisiae (strain JAY291) GN=ENP1 PE=4 SV=1,NaN,3,2,0,3,5
1121,>tr|E7M1M8|E7M1M8_YEASV DNA helicase OS=Saccharomyces cerevisiae (strain VIN 13) GN=VIN13_4970 PE=3 SV=1,2,3,NaN,0,3,5
1122,>tr|E7NHA4|E7NHA4_YEASO Qcr6p OS=Saccharomyces cerevisiae (strain FostersO) GN=FOSTERSO_1495 PE=4 SV=1,NaN,2,3,0,3,5
1123,>tr|E7Q240|E7Q240_YEASB Cdc34p OS=Saccharomyces cerevisiae (strain FostersB) GN=FOSTERSB_0779 PE=3 SV=1,3,NaN,2,0,3,5
1124,>tr|E7Q500|E7Q500_YEASB Vhs2p OS=Saccharomyces cerevisiae (strain FostersB) GN=FOSTERSB_2262 PE=4 SV=1,3,2,NaN,0,3,5
1125,>tr|E7QFR0|E7QFR0_YEASZ Crp1p OS=Saccharomyces cerevisiae (strain Zymaflore VL3) GN=VL3_2201 PE=4 SV=1,2,3,NaN,0,3,5
1126,>sp|P02992|EFTU_YEAST Elongation factor Tu- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TUF1 PE=1 SV=1,3,1,NaN,0,3,4
1127,>sp|P03962|PYRF_YEAST Orotidine 5'-phosphate decarboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA3 PE=1 SV=2,NaN,1,3,0,3,4
1128,>sp|P06104|UBC2_YEAST Ubiquitin-conjugating enzyme E2 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD6 PE=1 SV=1,NaN,1,3,0,3,4
1129,>sp|P25613|ADY2_YEAST Accumulation of dyads protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADY2 PE=1 SV=1,1,NaN,3,0,3,4
1130,>sp|P35189|TAF14_YEAST Transcription initiation factor TFIID subunit 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF14 PE=1 SV=1,3,1,NaN,0,3,4
1131,>sp|P36053|ELF1_YEAST Transcription elongation factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ELF1 PE=1 SV=1,NaN,3,1,0,3,4
1132,>sp|P38904|SPP41_YEAST Protein SPP41 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPP41 PE=1 SV=2,3,NaN,1,0,3,4
1133,>sp|P39743|RV167_YEAST Reduced viability upon starvation protein 167 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RVS167 PE=1 SV=1,3,1,NaN,0,3,4
1134,>sp|P43609|RSC8_YEAST Chromatin structure-remodeling complex protein RSC8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSC8 PE=1 SV=1,3,1,NaN,0,3,4
1135,>sp|P47103|CYP7_YEAST Peptidyl-prolyl cis-trans isomerase CYP7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPR7 PE=1 SV=1,1,NaN,3,0,3,4
1136,>sp|P53897|IGO1_YEAST mRNA stability protein IGO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IGO1 PE=1 SV=1,3,NaN,1,0,3,4
1137,>sp|P81449|ATPJ_YEAST ATP synthase subunit e- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM11 PE=1 SV=2,NaN,1,3,0,3,4
1138,>sp|Q01454|CTF4_YEAST DNA polymerase alpha-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTF4 PE=1 SV=2,3,NaN,1,0,3,4
1139,>sp|Q03833|GIS1_YEAST Transcriptional activator/repressor GIS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GIS1 PE=1 SV=1,NaN,3,1,0,3,4
1140,>sp|Q04272|VPS20_YEAST Vacuolar protein sorting-associated protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS20 PE=1 SV=3,3,1,NaN,0,3,4
1141,>sp|Q07451|YET3_YEAST Endoplasmic reticulum transmembrane protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YET3 PE=1 SV=1,3,1,NaN,0,3,4
1142,>sp|Q08220|GSHB_YEAST Glutathione synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSH2 PE=1 SV=1,3,1,NaN,0,3,4
1143,>sp|Q99210|YO111_YEAST Maf-like protein YOR111W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOR111W PE=1 SV=1,3,1,NaN,0,3,4
1144,>tr|A6ZZY7|A6ZZY7_YEAS7 Conserved protein OS=Saccharomyces cerevisiae (strain YJM789) GN=SCY_3397 PE=4 SV=1,NaN,3,1,0,3,4
1145,>tr|B5VJZ1|B5VJZ1_YEAS6 YHR063Cp-like protein OS=Saccharomyces cerevisiae (strain AWRI1631) GN=AWRI1631_81120 PE=4 SV=1,3,NaN,1,0,3,4
1146,>tr|E7KLR2|E7KLR2_YEASL Sly1p OS=Saccharomyces cerevisiae (strain Lalvin QA23) GN=QA23_0912 PE=3 SV=1,NaN,1,3,0,3,4
1147,>tr|E7NKM6|E7NKM6_YEASO Rex2p OS=Saccharomyces cerevisiae (strain FostersO) GN=FOSTERSO_3101 PE=4 SV=1,3,1,NaN,0,3,4
1148,>tr|E7Q553|E7Q553_YEASB Ser33p OS=Saccharomyces cerevisiae (strain FostersB) GN=FOSTERSB_2318 PE=3 SV=1,1,3,NaN,0,3,4
1149,>sp|A6ZNQ1|DBP5_YEAS7 ATP-dependent RNA helicase DBP5 OS=Saccharomyces cerevisiae (strain YJM789) GN=DBP5 PE=3 SV=1,NaN,NaN,3,0,3,3
1150,>sp|A6ZQH3|HS150_YEAS7 Cell wall mannoprotein HSP150 OS=Saccharomyces cerevisiae (strain YJM789) GN=HSP150 PE=3 SV=1,NaN,NaN,3,0,3,3
1151,>sp|B5VL27|CIS3_YEAS6 Cell wall mannoprotein CIS3 OS=Saccharomyces cerevisiae (strain AWRI1631) GN=CIS3 PE=3 SV=1,3,NaN,NaN,0,3,3
1152,>sp|B5VNY0|RS3A1_YEAS6 40S ribosomal protein S1-A OS=Saccharomyces cerevisiae (strain AWRI1631) GN=RPS1A PE=3 SV=1,NaN,3,NaN,0,3,3
1153,>sp|P00127|QCR6_YEAST Cytochrome b-c1 complex subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR6 PE=1 SV=2,3,NaN,NaN,0,3,3
1154,>sp|P04173|LEU3_YEAST 3-isopropylmalate dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU2 PE=1 SV=4,NaN,3,NaN,0,3,3
1155,>sp|P05453|ERF3_YEAST Eukaryotic peptide chain release factor GTP-binding subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUP35 PE=1 SV=1,NaN,NaN,3,0,3,3
1156,>sp|P06115|CATT_YEAST Catalase T OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTT1 PE=1 SV=3,NaN,3,NaN,0,3,3
1157,>sp|P0CW40|MALX2_YEAST Oligo-1-6-glucosidase IMA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMA3 PE=1 SV=1,NaN,NaN,3,0,3,3
1158,>sp|P12695|ODP2_YEAST Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LAT1 PE=1 SV=1,3,NaN,NaN,0,3,3
1159,>sp|P14306|CPYI_YEAST Carboxypeptidase Y inhibitor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TFS1 PE=1 SV=2,NaN,NaN,3,0,3,3
1160,>sp|P14904|AMPL_YEAST Vacuolar aminopeptidase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APE1 PE=1 SV=2,3,NaN,NaN,0,3,3
1161,>sp|P16603|NCPR_YEAST NADPH--cytochrome P450 reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NCP1 PE=1 SV=3,NaN,NaN,3,0,3,3
1162,>sp|P17065|SEC2_YEAST Rab guanine nucleotide exchange factor SEC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC2 PE=1 SV=1,3,NaN,NaN,0,3,3
1163,>sp|P18562|UPP_YEAST Uracil phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUR1 PE=1 SV=2,NaN,3,NaN,0,3,3
1164,>sp|P19659|MED15_YEAST Mediator of RNA polymerase II transcription subunit 15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAL11 PE=1 SV=3,NaN,3,NaN,0,3,3
1165,>sp|P21242|PSA7_YEAST Probable proteasome subunit alpha type-7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE10 PE=1 SV=2,NaN,3,NaN,0,3,3
1166,>sp|P21524|RIR1_YEAST Ribonucleoside-diphosphate reductase large chain 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR1 PE=1 SV=2,3,NaN,NaN,0,3,3
1167,>sp|P22035|BAS1_YEAST Myb-like DNA-binding protein BAS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAS1 PE=1 SV=1,NaN,3,NaN,0,3,3
1168,>sp|P22133|MDHC_YEAST Malate dehydrogenase- cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDH2 PE=1 SV=2,NaN,3,NaN,0,3,3
1169,>sp|P28273|OPLA_YEAST 5-oxoprolinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OXP1 PE=1 SV=2,3,NaN,NaN,0,3,3
1170,>sp|P28817|HIBCH_YEAST 3-hydroxyisobutyryl-CoA hydrolase- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EHD3 PE=1 SV=2,NaN,3,NaN,0,3,3
1171,>sp|P29539|RIF1_YEAST Telomere length regulator protein RIF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIF1 PE=1 SV=3,NaN,NaN,3,0,3,3
1172,>sp|P31377|STX8_YEAST Syntaxin-8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SYN8 PE=1 SV=2,NaN,NaN,3,0,3,3
1173,>sp|P32567|PAH1_YEAST Phosphatidic acid phosphohydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAH1 PE=1 SV=1,NaN,NaN,3,0,3,3
1174,>sp|P32568|SNQ2_YEAST Protein SNQ2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNQ2 PE=1 SV=2,3,NaN,NaN,0,3,3
1175,>sp|P32597|STH1_YEAST Nuclear protein STH1/NPS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STH1 PE=1 SV=1,NaN,NaN,3,0,3,3
1176,>sp|P33314|BUD2_YEAST Inhibitory regulator protein BUD2/CLA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD2 PE=1 SV=2,3,NaN,NaN,0,3,3
1177,>sp|P33327|DHE2_YEAST NAD-specific glutamate dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDH2 PE=1 SV=1,NaN,NaN,3,0,3,3
1178,>sp|P33892|GCN1_YEAST eIF-2-alpha kinase activator GCN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCN1 PE=1 SV=1,NaN,NaN,3,0,3,3
1179,>sp|P34231|YKS7_YEAST Uncharacterized protein YKL187C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKL187C PE=1 SV=1,3,NaN,NaN,0,3,3
1180,>sp|P35728|MPE1_YEAST Protein MPE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MPE1 PE=1 SV=1,NaN,3,NaN,0,3,3
1181,>sp|P36024|SIS2_YEAST Phosphopantothenoylcysteine decarboxylase subunit SIS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIS2 PE=1 SV=1,NaN,3,NaN,0,3,3
1182,>sp|P37291|GLYC_YEAST Serine hydroxymethyltransferase- cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHM2 PE=1 SV=2,NaN,NaN,3,0,3,3
1183,>sp|P37302|APE3_YEAST Aminopeptidase Y OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APE3 PE=1 SV=1,NaN,3,NaN,0,3,3
1184,>sp|P38250|IST2_YEAST Increased sodium tolerance protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IST2 PE=1 SV=2,3,NaN,NaN,0,3,3
1185,>sp|P38266|AIM3_YEAST Altered inheritance of mitochondria protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM3 PE=1 SV=3,3,NaN,NaN,0,3,3
1186,>sp|P38822|BZZ1_YEAST Protein BZZ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BZZ1 PE=1 SV=1,NaN,3,NaN,0,3,3
1187,>sp|P39013|END3_YEAST Actin cytoskeleton-regulatory complex protein END3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=END3 PE=1 SV=1,3,NaN,NaN,0,3,3
1188,>sp|P39081|PCF11_YEAST Protein PCF11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCF11 PE=1 SV=2,NaN,3,NaN,0,3,3
1189,>sp|P39712|FLO9_YEAST Flocculation protein FLO9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FLO9 PE=3 SV=2,NaN,3,NaN,0,3,3
1190,>sp|P39993|GEA2_YEAST ARF guanine-nucleotide exchange factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GEA2 PE=1 SV=1,3,NaN,NaN,0,3,3
1191,>sp|P40040|THO1_YEAST Protein THO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THO1 PE=1 SV=1,NaN,NaN,3,0,3,3
1192,>sp|P40317|SOK1_YEAST Protein SOK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SOK1 PE=1 SV=2,NaN,3,NaN,0,3,3
1193,>sp|P40486|SHQ1_YEAST Protein SHQ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHQ1 PE=1 SV=1,3,NaN,NaN,0,3,3
1194,>sp|P40535|ACA2_YEAST ATF/CREB activator 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CST6 PE=1 SV=1,NaN,3,NaN,0,3,3
1195,>sp|P40541|SCC3_YEAST Cohesin subunit SCC3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRR1 PE=1 SV=1,3,NaN,NaN,0,3,3
1196,>sp|P40956|GTS1_YEAST Protein GTS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GTS1 PE=1 SV=2,NaN,NaN,3,0,3,3
1197,>sp|P43535|GCN20_YEAST Protein GCN20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCN20 PE=1 SV=1,NaN,3,NaN,0,3,3
1198,>sp|P46676|SUM1_YEAST Suppressor of mar1-1 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUM1 PE=1 SV=2,NaN,NaN,3,0,3,3
1199,>sp|P47123|MOG1_YEAST Nuclear import protein MOG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MOG1 PE=1 SV=1,NaN,3,NaN,0,3,3
1200,>sp|P53204|NMA2_YEAST Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NMA2 PE=1 SV=1,NaN,3,NaN,0,3,3
1201,>sp|P53274|YG36_YEAST Uncharacterized protein YGR126W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR126W PE=1 SV=1,3,NaN,NaN,0,3,3
1202,>sp|P53622|COPA_YEAST Coatomer subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COP1 PE=1 SV=2,3,NaN,NaN,0,3,3
1203,>sp|Q02516|HAP5_YEAST Transcriptional activator HAP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HAP5 PE=1 SV=1,3,NaN,NaN,0,3,3
1204,>sp|Q03677|MTND_YEAST 1-2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADI1 PE=1 SV=1,3,NaN,NaN,0,3,3
1205,>sp|Q04500|UTP14_YEAST U3 small nucleolar RNA-associated protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP14 PE=1 SV=1,NaN,3,NaN,0,3,3
1206,>sp|Q05518|PAL1_YEAST Protein PAL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAL1 PE=1 SV=1,NaN,3,NaN,0,3,3
1207,>sp|Q05958|ECM22_YEAST Sterol regulatory element-binding protein ECM22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM22 PE=1 SV=1,NaN,NaN,3,0,3,3
1208,>sp|Q06675|MCM21_YEAST Central kinetochore subunit MCM21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM21 PE=1 SV=2,NaN,NaN,3,0,3,3
1209,>sp|Q07657|SHS1_YEAST Seventh homolog of septin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHS1 PE=1 SV=1,3,NaN,NaN,0,3,3
1210,>sp|Q08295|IMA2_YEAST Oligo-1-6-glucosidase IMA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMA2 PE=2 SV=1,3,NaN,NaN,0,3,3
1211,>sp|Q08438|VHS3_YEAST Phosphopantothenoylcysteine decarboxylase subunit VHS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VHS3 PE=1 SV=1,NaN,3,NaN,0,3,3
1212,>sp|Q08920|NCBP2_YEAST Nuclear cap-binding protein subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBC2 PE=1 SV=1,NaN,NaN,3,0,3,3
1213,>sp|Q08921|TCO89_YEAST Target of rapamycin complex 1 subunit TCO89 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCO89 PE=1 SV=1,3,NaN,NaN,0,3,3
1214,>sp|Q08924|WDR6_YEAST Regulator of Ty1 transposition protein 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTT10 PE=1 SV=1,NaN,NaN,3,0,3,3
1215,>sp|Q08966|PCL8_YEAST PHO85 cyclin-8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCL8 PE=1 SV=1,NaN,3,NaN,0,3,3
1216,>sp|Q12263|GIN4_YEAST Serine/threonine-protein kinase GIN4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GIN4 PE=1 SV=1,3,NaN,NaN,0,3,3
1217,>sp|Q12490|YB11B_YEAST Transposon Ty1-BL Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY1B-BL PE=1 SV=1,NaN,3,NaN,0,3,3
1218,>sp|Q92325|LAG2_YEAST Cullin-associated NEDD8-dissociated protein 1 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LAG2 PE=1 SV=2,NaN,NaN,3,0,3,3
1219,>tr|A6ZLI6|A6ZLI6_YEAS7 Conserved protein OS=Saccharomyces cerevisiae (strain YJM789) GN=ENP1 PE=4 SV=1,3,NaN,NaN,0,3,3
1220,>tr|A6ZMH1|A6ZMH1_YEAS7 Conserved protein OS=Saccharomyces cerevisiae (strain YJM789) GN=SCY_4283 PE=4 SV=1,NaN,NaN,3,0,3,3
1221,>tr|A6ZMV0|A6ZMV0_YEAS7 Bud7 and chs6-like protein OS=Saccharomyces cerevisiae (strain YJM789) GN=SCY_4416 PE=4 SV=1,3,NaN,NaN,0,3,3
1222,>tr|A6ZNV1|A6ZNV1_YEAS7 Conserved protein OS=Saccharomyces cerevisiae (strain YJM789) GN=RAS1 PE=4 SV=1,NaN,NaN,3,0,3,3
