Accession Number,DF1,EF1,DF2,EF2,DF3,EF3,DF4,EF4,DF5,EF5,DF6,EF6
P32558,---,---,---,---,5.84E-05,---,---,---,---,---,---,---
P40040,1.20E-03,1.08E+00,8.75E-04,3.38E+00,1.22E-04,2.14E-01,8.01E-04,9.12E+00,2.16E-04,6.34E-01,1.65E-04,6.48E-01
P40462,---,---,0.00E+00,0.00E+00,7.97E-05,3.71E+00,---,---,---,---,---,---
Q3E795,2.02E-03,5.77E-01,---,---,1.15E-03,2.76E+00,4.39E-03,3.12E+00,2.80E-03,2.71E+00,3.74E-03,9.87E+00
P38631,---,---,2.05E-05,---,8.78E-05,---,---,---,---,---,---,---
P17649,5.83E-05,---,1.08E-04,8.92E-01,2.02E-04,1.03E+00,8.74E-05,---,0.00E+00,---,2.72E-05,---
P38804,0.00E+00,0.00E+00,5.76E-04,1.56E-01,1.03E-04,2.70E-02,2.46E-03,4.30E-01,1.94E-03,2.99E-01,1.77E-03,3.00E-01
P87262,---,---,1.99E-03,1.97E+00,1.72E-03,2.13E+01,4.46E-04,---,0.00E+00,---,0.00E+00,---
P37292,3.45E-04,9.23E+00,2.58E-05,6.33E-02,1.66E-04,1.33E+00,1.94E-04,---,2.49E-05,1.35E+00,9.97E-05,---
P38787,---,---,---,---,1.30E-04,8.04E-01,---,---,---,---,---,---
P28240,---,---,2.27E-05,7.86E-02,1.85E-05,8.60E-02,0.00E+00,0.00E+00,2.78E-04,4.29E+00,2.86E-04,---
P11412,1.58E-04,---,3.03E-04,2.32E+00,1.70E-04,2.03E+00,---,---,---,---,---,---
P05738,2.03E-04,---,1.99E-03,1.43E+00,3.57E-03,3.19E+00,---,---,---,---,---,---
P00447,8.01E-04,---,5.47E-04,1.12E+00,3.51E-04,7.88E-01,6.32E-03,1.26E+00,5.69E-03,1.67E+00,5.90E-03,2.09E+00
P11633,2.23E-03,7.67E-01,8.99E-04,4.26E-01,8.11E-04,7.02E-01,2.86E-04,8.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P39976,6.41E-04,1.80E+01,1.29E-04,9.55E-01,1.74E-04,1.20E+00,3.83E-04,---,1.70E-04,---,3.77E-04,---
P53885,0.00E+00,0.00E+00,6.92E-05,2.44E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.47E-05,7.87E-02,6.55E-05,6.75E-02
P32377,6.31E-04,---,2.57E-04,2.15E+00,1.12E-04,4.01E-01,---,---,---,---,---,---
P22803,1.90E-03,6.31E-01,1.47E-03,1.46E+00,1.31E-03,4.27E-01,5.53E-03,1.07E+00,5.87E-03,1.21E+00,5.55E-03,1.17E+00
P36010,1.46E-03,6.17E+00,4.98E-04,3.48E-01,2.89E-04,2.35E-01,1.29E-03,1.78E+00,1.48E-03,1.90E+00,1.52E-03,1.77E+00
P33331,1.78E-03,3.14E-01,5.09E-04,1.71E-01,2.47E-04,7.85E-02,2.12E-03,5.88E-01,1.24E-03,3.41E-01,1.39E-03,3.95E-01
P48415,1.21E-05,3.75E-01,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.80E-05,1.12E+00,8.35E-05,1.96E+00
Q12178,2.50E-04,1.68E-01,5.64E-04,1.56E+00,1.43E-03,3.65E+00,1.15E-03,2.17E+00,1.52E-03,6.60E+00,2.00E-03,5.65E+00
P32835,2.36E-04,---,4.08E-04,9.42E-01,9.97E-04,4.17E+00,4.86E-04,---,3.83E-04,---,2.89E-04,6.76E+00
P33401,8.23E-04,---,3.57E-04,5.36E+00,4.81E-04,2.56E+01,3.51E-04,---,1.25E-04,---,2.63E-04,---
P0CX33,2.43E-03,---,7.26E-03,---,5.51E-03,3.54E+01,1.12E-03,---,5.52E-04,---,3.81E-04,---
P39077,---,---,9.55E-05,1.33E+00,1.43E-04,---,---,---,---,---,---,---
P28241,---,---,5.18E-04,2.87E+00,7.56E-04,3.98E+00,---,---,---,---,---,---
P49167,1.16E-03,1.70E+00,3.75E-03,5.13E+00,2.11E-03,3.88E+00,1.02E-03,2.89E+00,1.37E-03,---,1.11E-03,---
Q07471,2.55E-04,---,0.00E+00,0.00E+00,9.37E-05,2.13E-01,---,---,---,---,---,---
P24031,5.88E-05,5.66E-02,0.00E+00,0.00E+00,2.84E-05,4.96E-02,0.00E+00,0.00E+00,2.48E-05,6.33E-02,0.00E+00,0.00E+00
P28319,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.66E-04,6.76E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Q07478,---,---,3.42E-04,1.56E+01,2.93E-04,6.38E+00,---,---,---,---,---,---
P00927,---,---,1.76E-04,2.67E+00,2.36E-04,6.68E+00,---,---,---,---,---,---
P00931,---,---,---,---,9.48E-05,3.27E+00,2.23E-04,2.83E+00,1.52E-04,3.82E+00,1.36E-04,3.44E+00
P11353,9.26E-04,---,---,---,2.36E-04,1.89E+00,1.33E-03,8.32E-01,1.09E-03,7.82E-01,1.27E-03,8.58E-01
P14843,2.89E-04,---,4.47E-04,4.44E+00,6.43E-04,3.23E+00,1.84E-04,---,9.40E-05,---,6.51E-05,---
P15703,4.27E-03,2.11E+00,2.44E-04,3.36E-01,2.43E-04,3.51E-01,2.29E-03,4.12E+00,1.37E-03,2.35E+00,1.38E-03,2.01E+00
P38777,4.38E-04,---,3.67E-04,1.17E+00,1.99E-04,5.81E-01,4.50E-04,5.86E+00,5.02E-05,---,2.58E-04,3.31E+00
P40150,3.39E-03,2.35E+00,6.76E-03,1.10E+00,6.02E-03,9.01E-01,4.41E-03,2.12E+00,3.96E-03,1.94E+00,3.97E-03,1.94E+00
P38999,8.87E-05,4.63E+00,5.75E-05,1.59E-01,2.56E-05,7.37E-02,---,---,---,---,---,---
P07283,---,---,5.51E-04,1.06E+00,1.33E-03,1.10E+01,---,---,---,---,---,---
P50861,1.25E-03,---,3.00E-04,1.92E-01,3.49E-04,2.37E-01,0.00E+00,0.00E+00,7.15E-05,2.55E-01,7.59E-05,1.37E+00
P14922,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E-05,6.60E-02,6.18E-05,4.07E-01,1.24E-05,4.25E-01
Q06177,3.69E-03,1.39E+00,2.52E-03,---,3.61E-03,5.92E+00,8.07E-03,3.99E+00,9.62E-03,6.43E+00,1.21E-02,8.57E+00
P00498,1.41E-03,---,6.42E-04,1.44E+00,2.36E-04,4.84E-01,6.35E-04,6.97E+00,1.60E-04,1.05E+00,2.10E-04,---
P01095,5.49E-04,9.02E-02,8.49E-04,4.20E-01,7.81E-04,2.10E-01,1.74E-03,1.27E-01,6.38E-03,6.16E-01,6.38E-03,6.15E-01
P17423,5.07E-04,---,3.20E-04,1.22E+00,2.62E-04,5.38E-01,5.68E-04,---,1.01E-04,---,1.80E-04,---
P14907,0.00E+00,0.00E+00,1.08E-04,3.15E+00,1.09E-04,6.59E-01,4.65E-05,1.44E-01,8.66E-05,4.61E-01,1.60E-04,7.42E-01
Q08985,1.58E-04,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,---,---,---,---,---
Q08641,1.22E-04,1.88E-01,2.04E-05,1.50E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,---
P04911,1.37E-03,1.48E+00,9.64E-04,1.04E+00,6.97E-04,8.86E-01,3.01E-04,4.37E+00,9.15E-05,1.92E-01,9.12E-05,6.31E-01
P38791,---,---,9.85E-05,4.10E+00,1.42E-04,1.35E+00,---,---,---,---,---,---
Q12458,5.53E-04,---,1.22E-04,4.04E-01,0.00E+00,0.00E+00,---,---,---,---,---,---
P04650,---,---,3.75E-03,6.62E+00,4.25E-03,---,---,---,---,---,---,---
P41811,---,---,4.29E-05,4.47E-01,1.16E-05,1.25E-01,---,---,---,---,---,---
P15873,1.38E-03,4.16E+01,4.91E-04,6.36E-01,3.58E-04,5.26E-01,8.69E-04,3.10E+00,4.67E-04,1.65E+00,8.63E-04,2.38E+00
Q12189,2.57E-04,---,3.45E-04,2.36E+00,9.57E-05,2.23E-01,2.69E-04,---,4.49E-05,4.18E-01,4.97E-05,---
P33442,2.56E-04,---,3.09E-03,1.34E+00,4.62E-03,2.16E+00,2.01E-04,1.13E+00,2.82E-04,3.97E+00,3.39E-04,4.53E+00
P48164,7.54E-04,---,3.34E-03,1.86E+00,3.16E-03,2.33E+00,4.11E-04,---,4.45E-04,---,6.34E-05,---
P53334,2.70E-04,4.87E-01,9.88E-05,1.91E-01,6.11E-05,1.13E-01,9.94E-05,3.45E-01,1.83E-04,5.93E-01,1.26E-04,3.26E-01
Q12306,0.00E+00,0.00E+00,1.26E-03,5.08E-01,8.89E-04,3.60E-01,1.34E-03,6.04E-01,2.48E-03,6.80E-01,1.92E-03,5.74E-01
Q03640,0.00E+00,0.00E+00,---,---,6.75E-05,---,8.26E-06,6.67E-01,1.24E-04,---,1.58E-04,2.61E+01
Q12496,---,---,---,---,2.09E-05,1.03E+00,---,---,---,---,---,---
P01120,---,---,1.18E-04,8.09E-01,8.25E-05,2.52E+00,2.39E-04,2.82E+00,1.11E-04,7.48E-01,3.43E-04,---
P30902,2.20E-04,1.49E+00,---,---,4.61E-04,1.93E+00,1.35E-03,---,9.67E-04,---,6.89E-04,1.28E+01
P22768,1.58E-04,---,---,---,1.12E-04,3.27E-01,---,---,---,---,---,---
P39926,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.37E-05,1.20E-01,4.86E-04,6.20E-01,5.26E-04,8.10E-01,3.74E-04,5.37E-01
P07267,7.43E-04,1.12E+00,1.88E-04,2.86E-01,9.84E-05,1.91E-01,4.24E-04,5.65E-01,3.83E-04,5.13E-01,5.18E-04,6.05E-01
Q08412,2.24E-04,1.88E-01,3.10E-04,6.85E+00,1.29E-04,1.33E+00,9.33E-04,4.59E-01,2.62E-03,1.65E+00,2.20E-03,1.40E+00
P23248,---,---,2.99E-03,1.22E+00,4.60E-03,2.22E+00,3.52E-04,2.50E+00,2.82E-04,3.97E+00,3.39E-04,4.53E+00
P20424,---,---,4.68E-05,---,8.78E-05,---,0.00E+00,---,0.00E+00,---,0.00E+00,0.00E+00
Q06252,1.05E-03,---,5.06E-04,9.69E-01,3.28E-04,4.56E-01,3.32E-04,---,4.78E-04,---,3.71E-04,---
P47116,0.00E+00,0.00E+00,7.76E-05,2.22E+00,1.62E-05,4.18E-01,1.56E-05,3.49E-01,0.00E+00,0.00E+00,4.50E-05,6.52E-01
P11632,2.49E-03,7.20E-01,1.23E-03,6.32E-01,5.31E-04,3.96E-01,5.50E-04,2.31E-01,6.47E-04,2.26E-01,2.58E-04,8.26E-02
P14306,3.00E-04,1.51E+00,3.49E-04,8.94E-01,3.43E-04,9.11E-01,1.14E-03,1.51E+00,1.48E-03,3.92E+00,1.40E-03,2.17E+00
P32628,3.45E-05,1.57E-01,4.78E-04,1.00E+00,0.00E+00,0.00E+00,9.62E-05,2.75E-01,8.74E-05,1.65E-01,6.22E-05,1.32E-01
P25367,0.00E+00,0.00E+00,1.58E-04,7.48E-01,3.22E-04,1.06E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P32386,---,---,---,---,2.84E-05,---,---,---,---,---,---,---
P38616,1.11E-04,3.21E-02,7.15E-05,1.40E-01,1.84E-04,2.99E-01,6.94E-04,4.39E-01,5.72E-04,5.16E-01,5.83E-04,4.59E-01
P53066,4.98E-04,1.57E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.95E-04,3.46E-01,9.24E-04,5.09E-01,7.38E-04,3.47E-01
Q03559,5.87E-04,1.91E-01,1.03E-03,2.16E+01,1.12E-03,2.08E+00,1.66E-03,1.53E+00,2.49E-03,6.71E+00,2.54E-03,5.40E+00
P38077,---,---,1.23E-04,---,3.32E-04,---,1.23E-04,4.01E+00,3.48E-04,---,2.75E-04,---
P47119,---,---,5.17E-04,1.54E+00,3.55E-04,1.13E+00,1.94E-04,---,1.23E-04,---,3.13E-04,---
P00427,9.73E-04,1.68E-01,4.30E-04,4.48E-01,6.96E-05,4.32E-02,9.10E-03,1.12E+00,7.85E-03,1.14E+00,8.01E-03,9.23E-01
P28007,---,---,3.10E-04,1.36E+00,3.88E-04,2.63E+00,1.87E-04,---,0.00E+00,---,2.43E-04,---
Q00055,---,---,2.94E-04,3.05E+00,3.56E-04,2.27E+00,7.25E-05,---,0.00E+00,---,3.28E-05,---
P47047,---,---,---,---,3.19E-05,---,---,---,---,---,---,---
Q3E754,7.50E-03,1.81E-01,2.18E-02,1.06E+00,1.05E-02,5.68E-01,2.49E-02,5.05E-01,3.02E-02,7.23E-01,2.86E-02,6.88E-01
P48606,0.00E+00,0.00E+00,1.19E-04,4.61E-02,1.08E-04,4.60E-02,0.00E+00,0.00E+00,3.28E-04,6.55E-02,1.21E-04,2.58E-02
P39987,---,---,---,---,9.02E-04,1.69E+00,2.07E-04,9.00E-01,1.84E-04,1.08E+00,1.54E-04,4.22E-01
P17555,---,---,1.94E-04,1.35E+00,5.87E-05,1.44E+00,1.24E-04,4.70E-01,1.81E-04,6.44E-01,2.06E-04,6.77E-01
P07991,4.32E-04,---,4.50E-04,6.49E+00,5.85E-04,2.32E+01,4.66E-04,---,2.25E-04,---,6.72E-04,---
P40302,---,---,7.61E-04,4.67E+00,4.83E-04,1.83E+00,2.42E-04,5.92E+00,0.00E+00,---,2.12E-04,---
P17076,3.01E-04,---,4.17E-03,9.54E-01,6.17E-03,1.76E+00,1.55E-03,---,6.56E-04,1.85E+01,4.71E-04,6.56E+00
P04050,---,---,7.30E-06,4.50E-01,1.98E-05,---,---,---,---,---,---,---
Q08208,---,---,1.66E-04,---,2.49E-05,3.77E-01,---,---,---,---,---,---
Q12497,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.93E-04,3.56E-01,1.03E-03,4.95E-01,1.05E-03,5.46E-01
Q12349,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.19E-04,1.85E-01,7.71E-04,2.18E-01,1.94E-04,4.85E-02
P05030,4.30E-04,6.32E+00,3.32E-04,---,9.98E-04,9.35E+01,5.73E-05,1.13E+00,5.16E-05,---,7.92E-05,2.54E+00
P04051,---,---,---,---,2.73E-05,1.96E+00,8.74E-06,---,7.94E-06,---,8.18E-06,2.58E-01
P06633,5.79E-05,1.44E-01,4.62E-04,1.19E+00,1.97E-04,3.83E-01,1.75E-04,4.28E+00,3.28E-04,---,3.89E-04,9.31E+00
P33734,9.59E-05,---,9.24E-05,7.73E-01,2.07E-05,1.57E-01,---,---,---,---,---,---
P52910,---,---,1.30E-04,---,1.66E-04,---,---,---,---,---,---,---
P38080,0.00E+00,0.00E+00,---,---,1.01E-04,3.60E+00,5.78E-05,---,2.15E-04,---,1.54E-04,---
Q03973,3.15E-04,9.06E+00,1.04E-04,6.70E-01,0.00E+00,0.00E+00,5.19E-05,1.38E-01,2.43E-04,9.16E-01,2.44E-04,1.08E+00
P20967,---,---,6.24E-05,---,6.53E-05,---,---,---,---,---,---,---
Q12513,9.15E-05,1.15E-02,8.55E-05,4.64E-02,0.00E+00,0.00E+00,2.51E-03,4.27E-01,2.95E-03,4.37E-01,3.00E-03,3.64E-01
P16649,3.60E-05,1.00E+00,7.15E-05,1.08E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.82E-04,7.08E-01,2.74E-04,1.30E+00
P42945,1.44E-05,---,---,---,1.16E-05,---,---,---,---,---,---,---
P07257,---,---,1.38E-04,5.47E+00,2.54E-04,4.60E+00,2.09E-04,5.96E-01,3.24E-04,5.18E-01,1.95E-04,2.65E-01
P40357,1.96E-05,1.19E-01,---,---,2.04E-05,6.30E-01,2.36E-04,1.29E+00,3.69E-04,3.22E+00,4.48E-04,4.42E+00
P51402,---,---,1.02E-03,7.26E-01,2.56E-03,1.38E+00,1.66E-03,---,5.33E-04,---,6.90E-04,6.35E+00
Q12191,0.00E+00,0.00E+00,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.76E-05,9.78E-02
Q04067,---,---,5.57E-04,1.64E+01,2.55E-04,6.64E+00,3.31E-04,3.33E+00,6.98E-04,---,3.94E-04,---
P00431,3.80E-05,4.01E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.89E-04,3.90E-01,6.69E-05,2.25E-01,3.55E-05,2.32E-01
P32288,---,---,4.11E-04,2.26E+00,3.49E-04,3.18E+00,---,---,---,---,---,---
P38715,9.26E-04,---,1.56E-04,7.70E-01,3.15E-04,---,8.67E-05,---,1.08E-04,1.95E+00,1.57E-04,---
P05737,6.43E-04,---,3.18E-03,8.71E-01,4.44E-03,1.68E+00,6.16E-04,1.65E+01,2.97E-04,1.94E+00,4.00E-04,2.06E+00
P53330,0.00E+00,0.00E+00,4.88E-04,8.96E-01,5.80E-04,1.77E+00,2.61E-03,3.74E+00,3.35E-03,7.24E+00,3.03E-03,7.27E+00
P38523,0.00E+00,0.00E+00,1.68E-04,1.36E+00,1.03E-04,1.75E-01,6.22E-05,1.52E-01,6.24E-04,1.76E+00,4.28E-04,8.01E-01
Q12460,1.77E-04,3.39E+00,1.26E-04,1.35E+00,8.84E-05,---,7.61E-05,5.90E-01,7.21E-05,2.67E-01,2.37E-05,1.16E-01
P16467,2.03E-03,---,1.62E-03,3.70E-01,1.79E-03,5.28E-01,6.28E-04,3.54E+00,7.20E-04,4.48E+00,4.20E-04,3.19E+00
P20840,---,---,5.87E-05,1.60E-01,1.76E-05,6.11E-02,---,---,---,---,---,---
P32481,---,---,4.84E-05,3.03E-01,2.17E-05,1.61E-01,2.42E-05,1.26E-01,0.00E+00,0.00E+00,2.44E-05,1.52E-01
P00044,1.14E-02,7.62E+00,3.03E-03,4.93E+00,1.67E-03,1.92E+00,9.55E-03,6.64E+00,9.34E-03,3.27E+00,9.08E-03,3.30E+00
Q12335,1.07E-03,1.24E+01,4.49E-04,4.66E+00,9.30E-04,3.51E+00,4.08E-03,1.51E+00,4.05E-03,1.82E+00,3.52E-03,1.55E+00
P12685,---,---,---,---,1.76E-05,6.83E-01,---,---,---,---,---,---
P01094,0.00E+00,0.00E+00,9.38E-04,---,5.42E-04,5.08E-01,0.00E+00,0.00E+00,1.06E-03,7.11E-01,5.41E-04,3.57E-01
P01097,0.00E+00,0.00E+00,2.54E-03,2.33E+01,2.60E-03,2.10E+01,1.43E-02,2.74E+00,1.24E-02,2.07E+00,1.13E-02,2.04E+00
P23776,1.74E-03,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.55E-04,---,0.00E+00,---,1.72E-04,---
Q03655,2.75E-04,5.03E-01,2.45E-05,1.13E-01,2.53E-05,1.80E-01,1.00E-04,3.61E-01,3.20E-04,1.21E+00,2.34E-04,6.89E-01
P25373,2.97E-03,1.22E+00,1.04E-03,4.06E+00,1.76E-03,3.75E+00,3.42E-03,2.91E+00,4.79E-03,4.45E+00,4.43E-03,2.75E+00
P53691,2.18E-04,---,---,---,7.16E-05,2.14E-01,1.11E-04,---,9.64E-05,---,1.01E-04,---
P39940,1.70E-05,2.58E-01,6.30E-05,2.74E+00,7.84E-05,5.93E+00,8.08E-05,3.50E+00,2.22E-04,1.98E+01,1.20E-04,5.20E+00
P32495,3.68E-03,3.59E+00,8.16E-04,2.67E+00,4.91E-04,2.53E+00,4.28E-04,3.60E+00,4.53E-04,---,4.62E-04,---
P17695,9.03E-05,4.62E-02,6.22E-04,1.06E+00,9.88E-04,1.92E+00,3.08E-03,1.84E+00,4.27E-03,2.39E+00,3.41E-03,2.17E+00
O94742,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.44E-04,1.88E-02,1.48E-03,1.92E-01,2.71E-04,3.39E-02
P20459,---,---,0.00E+00,0.00E+00,1.21E-04,3.95E-01,---,---,---,---,---,---
Q08746,1.54E-03,6.74E+00,6.25E-04,3.36E+00,5.07E-05,2.51E-01,1.20E-03,2.64E+00,1.00E-03,1.15E+01,8.47E-04,3.64E+00
P32583,1.48E-03,3.23E+01,1.88E-04,4.05E+00,1.04E-04,4.02E+00,4.24E-04,1.91E+01,2.93E-04,---,3.63E-04,8.00E+00
Q08971,3.53E-04,---,1.73E-04,4.47E-01,5.95E-04,1.67E+00,2.82E-04,---,1.65E-04,---,8.18E-05,---
Q04344,5.84E-04,1.48E+00,8.08E-04,9.59E-01,7.97E-04,1.55E+00,8.11E-05,2.76E-01,7.50E-04,1.83E+00,4.60E-04,3.88E+00
P02557,---,---,8.31E-05,---,9.91E-05,2.23E+00,0.00E+00,0.00E+00,1.57E-04,---,1.05E-04,---
P53235,5.98E-05,---,---,---,1.19E-04,---,---,---,---,---,---,---
P07274,1.27E-03,6.10E+00,7.07E-04,1.33E+00,5.23E-04,7.01E-01,1.67E-03,---,1.53E-03,---,9.59E-04,---
P28707,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.54E-05,2.77E-01,4.27E-04,1.11E+00,9.48E-04,7.70E+00,1.08E-03,1.27E+01
P28274,---,---,8.75E-05,---,9.09E-05,---,---,---,---,---,---,---
P37370,0.00E+00,0.00E+00,---,---,8.13E-05,3.10E+00,1.56E-05,---,5.79E-05,---,0.00E+00,---
P53303,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.48E-05,---,0.00E+00,0.00E+00
P32909,---,---,---,---,3.59E-05,---,---,---,---,---,---,---
P20676,---,---,2.35E-05,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.12E-05,---,0.00E+00,---
Q05979,---,---,2.79E-05,4.38E-01,9.59E-05,1.43E+00,---,---,---,---,---,---
P05747,1.32E-03,---,8.61E-04,8.85E-01,5.93E-04,2.87E-01,---,---,---,---,---,---
Q03178,3.79E-05,4.21E-02,2.23E-04,5.00E-01,6.69E-05,1.39E-01,4.16E-05,2.16E-01,7.16E-05,6.81E-01,1.46E-04,2.63E+00
P35176,1.15E-04,1.76E-01,0.00E+00,0.00E+00,1.01E-04,1.18E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---
P02829,9.95E-04,8.14E+00,1.04E-03,6.26E-01,1.35E-03,7.82E-01,2.21E-03,2.40E+00,2.16E-03,2.32E+00,1.89E-03,2.51E+00
P10664,5.47E-04,---,3.51E-03,1.08E+00,4.24E-03,1.41E+00,5.73E-04,---,5.24E-04,3.56E+00,4.47E-04,1.76E+01
P38427,1.25E-05,1.51E-01,1.39E-04,5.39E+00,1.09E-04,---,0.00E+00,0.00E+00,1.31E-04,1.54E+00,1.77E-04,1.48E+00
Q08387,---,---,---,---,0.00E+00,0.00E+00,---,---,---,---,---,---
P46680,1.06E-04,---,4.15E-05,6.77E-01,0.00E+00,0.00E+00,---,---,---,---,---,---
P04076,8.33E-05,---,5.47E-05,8.84E-01,2.22E-05,1.44E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P38711,1.29E-03,6.83E-01,2.01E-03,2.18E+00,2.87E-03,7.81E+00,---,---,---,---,---,---
P31688,---,---,---,---,7.48E-05,---,---,---,---,---,---,---
P40531,---,---,2.33E-04,1.00E+00,2.55E-04,1.63E+00,2.00E-04,---,3.56E-05,1.31E+00,0.00E+00,---
Q06505,1.63E-04,7.84E+00,---,---,2.78E-05,3.58E-01,6.58E-05,---,8.60E-05,---,9.01E-05,---
P27614,1.14E-04,9.16E-01,4.43E-05,4.46E-01,1.23E-04,1.17E+00,9.32E-04,2.79E+00,8.74E-04,3.94E+00,6.32E-04,2.15E+00
P05745,2.71E-03,5.29E+00,7.38E-03,3.11E+00,1.13E-02,3.76E+00,7.88E-03,1.24E+01,5.76E-03,8.87E+00,5.13E-03,9.15E+00
Q08969,7.93E-04,7.68E-02,3.79E-04,1.66E+00,0.00E+00,0.00E+00,1.61E-04,6.99E-02,2.48E-03,1.38E+00,2.77E-03,1.51E+00
P35719,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.12E-04,4.10E-02,5.50E-05,2.18E-02
P21242,---,---,8.79E-05,8.88E-01,1.18E-04,5.55E-01,---,---,---,---,---,---
P53598,---,---,3.48E-04,3.04E+00,1.38E-04,1.47E+00,4.31E-05,---,3.99E-04,1.37E+01,4.09E-04,---
Q01976,---,---,---,---,1.15E-04,5.08E-01,3.99E-04,1.03E+01,1.05E-04,---,1.04E-04,1.27E+00
Q05905,1.25E-03,---,1.57E-04,1.56E-01,0.00E+00,0.00E+00,7.68E-04,6.66E+00,2.42E-04,6.65E+00,2.10E-04,---
P39931,5.44E-05,3.21E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.62E-04,6.22E-01,2.56E-04,2.37E-01
P37297,---,---,---,---,1.08E-05,---,---,---,---,---,---,---
P40495,---,---,---,---,1.87E-04,---,7.26E-05,3.00E+00,0.00E+00,---,9.65E-05,1.27E+00
P40010,---,---,---,---,6.16E-05,---,---,---,---,---,---,---
P32566,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,---
P32610,3.01E-04,---,---,---,3.58E-04,---,1.99E-04,---,4.53E-05,1.31E+00,1.47E-04,---
P32457,---,---,---,---,1.10E-04,5.87E+00,---,---,---,---,---,---
P18239,---,---,1.59E-04,---,3.71E-04,---,6.97E-04,1.26E+00,6.35E-04,1.38E+00,4.57E-04,1.41E+00
Q12032,---,---,1.37E-04,---,5.32E-04,---,4.15E-04,6.39E-01,9.01E-04,1.30E+00,5.83E-04,1.16E+00
P15646,---,---,2.72E-04,9.44E+00,4.08E-04,---,---,---,---,---,---,---
P05748,1.98E-04,---,2.43E-03,1.53E+00,3.36E-03,2.01E+00,6.26E-05,---,0.00E+00,---,1.85E-04,---
P32074,---,---,5.42E-05,1.07E+00,4.64E-05,4.12E+00,---,---,---,---,---,---
P41896,---,---,---,---,2.05E-04,---,1.92E-04,---,1.17E-04,---,1.20E-04,---
Q03063,---,---,1.12E-04,---,8.81E-05,3.78E+00,---,---,---,---,---,---
P40019,1.64E-03,4.28E-01,---,---,7.46E-05,1.02E-01,0.00E+00,0.00E+00,5.41E-04,2.49E-01,1.62E-04,7.56E-02
P16965,4.27E-03,1.09E-01,4.56E-04,---,1.56E-03,6.44E+00,1.89E-02,1.11E+00,2.63E-02,2.15E+00,2.40E-02,1.76E+00
P18899,1.93E-03,2.77E-01,8.91E-05,4.46E-01,5.31E-05,1.71E-01,0.00E+00,0.00E+00,5.51E-05,1.29E-01,5.60E-05,8.01E-02
P31412,---,---,1.95E-04,9.03E-01,2.37E-04,8.68E+00,1.74E-04,---,9.00E-05,---,9.62E-05,---
P00899,---,---,1.00E-04,5.19E+00,1.16E-04,5.98E+00,0.00E+00,0.00E+00,0.00E+00,---,4.71E-05,2.50E+00
P33302,---,---,---,---,5.03E-05,---,---,---,---,---,---,---
P02309,---,---,4.92E-04,5.38E+00,1.37E-03,---,1.24E-04,---,3.50E-04,---,2.34E-04,---
P07213,---,---,0.00E+00,0.00E+00,8.13E-05,---,0.00E+00,0.00E+00,0.00E+00,---,0.00E+00,0.00E+00
P19659,---,---,---,---,2.46E-05,---,---,---,---,---,---,---
Q06142,---,---,0.00E+00,0.00E+00,3.85E-05,3.14E+00,---,---,---,---,---,---
P52489,5.95E-04,---,3.78E-04,1.18E+00,4.37E-04,2.61E+00,3.19E-04,---,6.87E-05,---,2.00E-04,---
P05740,1.63E-03,---,5.80E-03,2.20E+00,7.37E-03,3.15E+00,2.49E-03,---,1.31E-03,---,1.13E-03,---
