,,,,,,,,,,"(+) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 100 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.1 mM cys",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.8 mM NaCl",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 3.0 mM NaCl",,,,,
Maintenance of telomere capping protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTC1 PE=1 SV=1,MTC1 YJL123C J0718,P47018,4.5,478,53477.36,0,0,Cytoplasm. Cytoplasmic vesicle â€º COPI-coated vesicle. ,COPI-coated vesicle; Golgi apparatus,1.91E-04,4.22E-05,6.86E-04,3.88E-04,2.79E-01,0.00E+00,0.00E+00,1.17E-04,1.02E-04,0.00E+00,---,---,---,---,---,1.16E-04,1.37E-04,4.26E-04,1.04E-04,2.72E-01,1.24E-04,1.15E-04,7.46E-04,9.75E-05,1.67E-01,1.33E-04,1.68E-04,4.49E-04,1.85E-04,2.95E-01,
Chitin biosynthesis protein CHS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHS5 PE=1 SV=1,CHS5 CAL3 YLR330W L8543.18,Q12114,4.5,671,73638.62,0,0,Golgi apparatus â€º trans-Golgi network membrane; Peripheral membrane protein. ,"Golgi to plasma membrane transport; ascospore wall assembly; cell wall chitin catabolic process; cellular bud site selection; conjugation with cellular fusion; exomer complex; mating projection tip; membrane; protein transport; regulation of transcription, DNA-dependent",0.00E+00,0.00E+00,5.19E-05,5.81E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,1.11E-04,6.58E-05,0.00E+00,0.00E+00,0.00E+00,1.76E-04,4.15E-05,0.00E+00,0.00E+00,0.00E+00,1.81E-04,2.11E-05,0.00E+00,
Lysophospholipase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PLB1 PE=1 SV=2,PLB1 YMR008C YM8270.10C,P39105,4.5,664,66318.18,3,0,Cell membrane; Lipid-anchor â€º GPI-anchor. ,anchored to membrane; glycerophospholipid metabolic process; lysophospholipase activity; periplasmic space; phospholipid catabolic process; plasma membrane,0.00E+00,0.00E+00,2.57E-05,4.46E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,1.16E-04,1.16E-04,5.29E-04,7.96E-05,2.19E-01,3.24E-04,9.18E-05,4.41E-04,3.62E-05,7.34E-01,4.06E-04,2.89E-05,4.37E-04,1.43E-04,9.30E-01,
Protein SUS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUS1 PE=1 SV=1,SUS1 YBR111W-A,Q6WNK7,4.51,96,11084.55,0,0,Nucleus â€º nucleoplasm. Nucleus â€º nuclear pore complex. ,DUBm complex; SAGA complex; enzyme activator activity; histone H3-K4 methylation; histone H3-K79 methylation; histone deubiquitination; nuclear pore; nuclear retention of pre-mRNA at the site of transcription; poly(A)+ mRNA export from nucleus; positive regulation of transcription from RNA polymerase II promoter; posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery; protein transport; regulation of protein localization; transcription elongation from RNA polymerase II promoter; transcription export complex 2,0.00E+00,0.00E+00,6.45E-04,3.95E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Uncharacterized protein YIL002W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YIL002W-A PE=1 SV=1,YIL002W-A,Q3E7Z5,4.52,69,7728.69,0,0,0,0,0.00E+00,0.00E+00,4.13E-03,1.27E-03,0.00E+00,0.00E+00,0.00E+00,8.21E-04,4.02E-04,0.00E+00,---,---,---,---,---,3.91E-04,3.40E-04,2.00E-03,4.10E-04,1.95E-01,1.75E-04,3.03E-04,2.13E-03,3.20E-04,8.21E-02,0.00E+00,0.00E+00,1.90E-03,2.39E-04,0.00E+00,
Prefoldin subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GIM3 PE=1 SV=1,GIM3 PFD4 YNL153C N1761,P53900,4.52,129,15180.11,0,0,0,prefoldin complex; protein folding; tubulin binding; tubulin complex assembly,0.00E+00,0.00E+00,3.31E-04,5.74E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
F-actin-capping protein subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAP2 PE=1 SV=3,CAP2 YIL034C,P13517,4.52,287,32629.11,0,0,Cytoplasm â€º cytoskeleton â€º actin patch. Bud. Bud tip. ,F-actin capping protein complex; WASH complex; actin cortical patch; actin cytoskeleton organization; actin filament; actin filament binding; barbed-end actin filament capping; cellular bud tip; filamentous growth; mating projection tip; plasma membrane,9.56E-05,1.66E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
"DNA-directed RNA polymerases I, II, and III subunit RPABC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPO26 PE=1 SV=1",RPO26 RPB6 YPR187W P9677.8,P20435,4.53,155,17909.86,0,0,Cytoplasm. Nucleus. ,"DNA binding; DNA-directed RNA polymerase I complex; DNA-directed RNA polymerase II, core complex; DNA-directed RNA polymerase III complex; DNA-directed RNA polymerase activity; cytoplasm; tRNA transcription from RNA polymerase III promoter; transcription from RNA polymerase I promoter; transcription from RNA polymerase II promoter",1.72E-04,1.49E-04,6.44E-03,2.21E-04,2.67E-02,4.11E-04,1.43E-04,7.45E-04,5.73E-04,5.51E-01,---,---,---,---,---,6.78E-04,2.73E-04,1.85E-03,3.38E-04,3.67E-01,1.54E-03,1.12E-04,2.14E-03,3.99E-04,7.21E-01,7.01E-04,4.53E-04,2.78E-03,1.53E-04,2.52E-01,
U6 snRNA-associated Sm-like protein LSm5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSM5 PE=1 SV=1,LSM5 YER146W,P40089,4.54,93,10423,0,0,Nucleus. ,"RNA binding; U4/U6 x U5 tri-snRNP complex; U6 snRNP; mRNA splicing, via spliceosome; nuclear-transcribed mRNA catabolic process; nucleolus; rRNA processing; small nucleolar ribonucleoprotein complex; spliceosomal complex; tRNA processing",1.39E-04,2.41E-04,9.48E-04,6.11E-04,1.46E-01,---,---,---,---,---,---,---,---,---,---,4.42E-04,4.58E-04,1.98E-03,2.20E-04,2.23E-01,1.31E-04,2.27E-04,1.79E-03,8.67E-04,7.32E-02,1.38E-04,2.39E-04,2.02E-03,3.50E-04,6.84E-02,
Invertase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUC2 PE=1 SV=1,SUC2 YIL162W,P00724,4.58,532,58631.8,3,0,Cytoplasm.  Secreted. ,beta-fructofuranosidase activity; extracellular region; mitochondrion; sucrose alpha-glucosidase activity; sucrose catabolic process,1.24E-04,1.12E-04,2.39E-04,8.52E-05,5.21E-01,---,---,---,---,---,---,---,---,---,---,4.00E-04,9.90E-05,2.77E-04,1.57E-04,1.44E+00,1.99E-04,1.71E-04,1.67E-05,2.89E-05,1.20E+01,1.67E-04,2.34E-04,1.04E-04,1.80E-04,1.61E+00,
Barrierpepsin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAR1 PE=1 SV=1,BAR1 SST1 YIL015W,P12630,4.6,587,61175.74,3,0,Secreted. ,adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion; aspartic-type endopeptidase activity; cell wall-bounded periplasmic space; extracellular region; peptide catabolic process; proteolysis,3.12E-04,7.33E-05,4.77E-04,8.46E-05,6.55E-01,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Repressible acid phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO5 PE=1 SV=2,PHO5 YBR093C YBR0814,P00635,4.6,467,51091.44,3,0,Secreted. ,acid phosphatase activity; cellular response to phosphate starvation; dephosphorylation; extracellular region; fungal-type cell wall; nucleoside-triphosphatase activity; nucleoside-triphosphate diphosphatase activity; regulation of cell size,0.00E+00,0.00E+00,2.89E-04,6.26E-05,0.00E+00,0.00E+00,0.00E+00,8.39E-05,1.45E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Ino eighty subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IES2 PE=1 SV=1,IES2 YNL215W N1315,P40154,4.61,320,36153.91,0,0,Nucleus. ,"DNA binding; DNA repair; chromatin modification; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",0.00E+00,0.00E+00,4.98E-04,2.63E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,8.52E-05,1.48E-04,0.00E+00,1.87E-04,1.74E-04,8.76E-05,9.00E-05,2.13E+00,7.46E-05,1.29E-04,1.17E-04,1.02E-04,6.37E-01,
Serine/threonine-protein phosphatase PP2A-1 catalytic subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PPH21 PE=1 SV=1,PPH21 YDL134C D2180,P23594,4.61,369,41937.87,3,0,0,G1/S transition of mitotic cell cycle; actin filament organization; budding cell bud growth; cytoplasm; metal ion binding; mitotic spindle assembly checkpoint; nucleus; protein dephosphorylation; protein phosphatase type 2A complex; protein serine/threonine phosphatase activity; regulation of translation,1.09E-04,1.12E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,1.46E-04,7.30E-05,2.59E-05,4.49E-05,5.64E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,1.37E-04,1.60E-04,2.49E-05,4.32E-05,5.48E+00,
    Cell wall mannoprotein PIR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIR3 PE=1 SV=3,PIR3 CCW8 YKL163W YKL617,Q03180,4.65,325,26150.66,0,0,Secreted â€º cell wall. ,extracellular region; fungal-type cell wall; fungal-type cell wall organization; structural constituent of cell wall,0.00E+00,0.00E+00,5.12E-04,4.52E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,2.80E-05,4.85E-05,0.00E+00,0.00E+00,0.00E+00,5.58E-05,9.66E-05,0.00E+00,0.00E+00,0.00E+00,2.30E-04,2.65E-04,0.00E+00,
Damage response protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAP1 PE=1 SV=1,DAP1 YPL170W P2515,Q12091,4.65,152,16757.54,0,0,0,endosome; heme binding; membrane; regulation of ergosterol biosynthetic process,0.00E+00,0.00E+00,1.19E-03,3.12E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,4.21E-04,5.27E-04,9.08E-04,3.53E-04,4.64E-01,4.70E-04,4.77E-04,8.39E-04,3.51E-04,5.60E-01,8.10E-04,2.92E-04,6.75E-04,2.71E-04,1.20E+00,
Vacuolar-sorting protein SNF7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNF7 PE=1 SV=1,SNF7 DID1 VPS32 YLR025W,P39929,4.66,240,26987.12,0,0,Cytoplasm. Endosome membrane; Peripheral membrane protein. ,ESCRT III complex; cellular response to anoxia; intralumenal vesicle formation; late endosome to vacuole transport; protein transport; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,0.00E+00,0.00E+00,2.96E-04,1.14E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,3.74E-05,6.48E-05,0.00E+00,4.47E-04,1.39E-04,0.00E+00,0.00E+00,---,4.10E-04,9.58E-05,0.00E+00,0.00E+00,---,
Uncharacterized protein YDL160C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDL160C-A PE=1 SV=1,YDL160C-A,Q3E829,4.69,80,9050.49,0,0,0,response to DNA damage stimulus,0.00E+00,0.00E+00,1.01E-03,5.77E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Uncharacterized RING finger protein YBR062C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR062C PE=1 SV=2,YBR062C YBR0528,P38239,4.7,180,20595.85,0,0,0,zinc ion binding,0.00E+00,0.00E+00,9.50E-05,1.64E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
COMPASS component SDC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDC1 PE=1 SV=1,SDC1 CPS25 SAF19 YDR469W,Q03323,4.71,175,19446.25,0,0,Nucleus. ,Set1C/COMPASS complex; chromatin silencing at telomere; histone H3-K4 methylation,0.00E+00,0.00E+00,4.71E-04,2.81E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Protein GON7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GON7 PE=1 SV=1,GON7 LDB6 PCC2 YJL184W J0420,P46984,4.72,123,13605.03,0,0,Nucleus. Chromosome â€º telomere. ,"EKC/KEOPS complex; cell wall mannoprotein biosynthetic process; chromatin DNA binding; chromosome, telomeric region; nucleus; positive regulation of transcription from RNA polymerase II promoter; telomere maintenance; transcription, DNA-dependent",0.00E+00,0.00E+00,3.61E-03,8.16E-04,0.00E+00,6.23E-04,6.26E-04,5.37E-04,3.48E-04,1.16E+00,---,---,---,---,---,0.00E+00,0.00E+00,2.54E-03,3.89E-04,0.00E+00,9.72E-04,6.13E-04,2.33E-03,9.75E-04,4.18E-01,5.92E-04,2.84E-04,2.29E-03,6.50E-04,2.58E-01,
Ribonucleotide reductase inhibitor protein SML1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SML1 PE=1 SV=1,SML1 YML058W YM9958.04,Q04964,4.72,104,11834.19,0,0,Nucleus. Cytoplasm. ,cell cycle; cytoplasm; enzyme inhibitor activity; mitochondrion organization; negative regulation of DNA replication; nucleus; response to DNA damage stimulus,0.00E+00,0.00E+00,3.53E-04,6.11E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00,---,6.97E-04,6.16E-04,0.00E+00,0.00E+00,---,4.69E-04,1.91E-04,0.00E+00,0.00E+00,---,
Vacuolar protein sorting/targeting protein VPS10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP1 PE=1 SV=1,PEP1 VPS10 VPT1 YBL017C YBL03.22 YBL0302,P32319,4.74,1579,175353.42,0,0,Golgi apparatus â€º trans-Golgi network membrane; Single-pass type I membrane protein. Prevacuolar compartment membrane; Single-pass type I membrane protein. ,Golgi apparatus; integral to membrane; late endosome membrane; nucleotide binding; protein targeting to vacuole; signal sequence binding,2.54E-05,2.61E-05,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Uncharacterized protein YMR074C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR074C PE=1 SV=1,YMR074C YM9916.13C,Q04773,4.75,145,15977.45,0,0,0,DNA binding; apoptotic process; cytoplasm; nucleus,8.91E-05,1.54E-04,4.33E-03,1.61E-03,2.06E-02,1.31E-03,6.88E-04,6.50E-05,1.13E-04,2.02E+01,---,---,---,---,---,0.00E+00,0.00E+00,2.36E-03,7.47E-04,0.00E+00,2.55E-03,7.44E-05,2.04E-03,6.71E-04,1.25E+00,8.35E-04,1.00E-03,2.65E-03,3.44E-04,3.15E-01,
Bud site selection protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD4 PE=1 SV=2,BUD4 YJR092W J1905,P47136,4.75,1447,164486.24,0,0,Bud neck. ,GTP binding; axial cellular bud site selection; cellular bud neck contractile ring; phospholipid binding; protein localization to bud neck,0.00E+00,0.00E+00,2.46E-05,9.42E-06,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Cell wall protein YJL171C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJL171C PE=1 SV=2,YJL171C J0512,P46992,4.76,396,37738.37,0,0,Cell membrane; Lipid-anchor â€º GPI-anchor; Extracellular side. ,anchored to membrane; fungal-type cell wall; mitochondrion; plasma membrane,2.34E-04,1.19E-04,1.13E-04,3.72E-05,2.07E+00,---,---,---,---,---,---,---,---,---,---,4.30E-04,1.34E-04,3.01E-04,7.21E-05,1.43E+00,5.71E-04,1.22E-04,3.25E-04,4.54E-05,1.76E+00,5.00E-04,2.09E-04,2.83E-04,6.57E-05,1.76E+00,
"Protein FMP21, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP21 PE=1 SV=2",FMP21 YBR269C YBR1737,P38345,4.77,138,11864.99,0,0,Mitochondrion. ,mitochondrion,0.00E+00,0.00E+00,3.30E-04,2.39E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,9.25E-05,1.60E-04,2.46E-03,2.37E-04,3.75E-02,0.00E+00,0.00E+00,3.11E-03,3.07E-04,0.00E+00,0.00E+00,0.00E+00,2.72E-03,2.42E-04,0.00E+00,
Ribosome assembly protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSA3 PE=1 SV=1,RSA3 YLR221C,Q05942,4.79,220,24656.31,0,0,Nucleus â€º nucleolus. ,"nucleolus; preribosome, large subunit precursor; ribosomal large subunit assembly",0.00E+00,0.00E+00,8.86E-04,4.44E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Bud neck protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNI5 PE=1 SV=1,BNI5 YNL166C N1706,P53890,4.79,448,49694.35,0,0,Cytoplasm. Bud. ,cellular bud neck septin ring; cytokinesis; septin ring assembly,0.00E+00,0.00E+00,5.86E-05,5.73E-05,0.00E+00,0.00E+00,0.00E+00,8.30E-05,1.44E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Eukaryotic translation initiation factor 5A-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ANB1 PE=1 SV=3,ANB1 HYP1 TIF51B YJR047C J1651,P19211,4.8,157,17000.12,0,0,Cytoplasm. ,cytosolic ribosome; peptidyl-lysine modification to hypusine; positive regulation of translational elongation; positive regulation of translational termination; ribosome binding; translation elongation factor activity; translational frameshifting,0.00E+00,0.00E+00,2.67E-03,7.91E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,1.89E-03,1.32E-03,8.74E-04,6.11E-04,2.16E+00,3.65E-03,2.94E-04,4.55E-04,4.27E-04,8.01E+00,3.65E-03,6.23E-04,1.83E-04,3.16E-04,2.00E+01,
Diphthine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DPH5 PE=1 SV=1,DPH5 YLR172C L9470.17,P32469,4.82,300,33847.39,2,Protein modification; peptidyl-diphthamide biosynthesis. ,Cytoplasm. ,cytoplasm; diphthine synthase activity; peptidyl-diphthamide biosynthetic process from peptidyl-histidine,8.61E-05,1.49E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Transcriptional regulatory protein RXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RXT2 PE=1 SV=2,RXT2 RAF60 YBR095C YBR0822,P38255,4.82,430,48629.23,0,0,Nucleus. ,"Rpd3L complex; Rpd3L-Expanded complex; conjugation with cellular fusion; cytosol; histone deacetylation; invasive growth in response to glucose limitation; negative regulation of chromatin silencing at rDNA; negative regulation of chromatin silencing at silent mating-type cassette; negative regulation of chromatin silencing at telomere; negative regulation of transcription from RNA polymerase II promoter; transcription, DNA-dependent",6.01E-05,1.04E-04,0.00E+00,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
"Frataxin homolog, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFH1 PE=1 SV=1",YFH1 YDL120W,Q07540,4.87,174,17067.16,1,0,Mitochondrion matrix. ,"cellular iron ion homeostasis; ferric iron binding; ferrous iron binding; ferroxidase activity; glutathione metabolic process; heme biosynthetic process; ion transport; iron chaperone activity; iron-sulfur cluster assembly; mitochondrial electron transport, succinate to ubiquinone; mitochondrial inner membrane; mitochondrial intermembrane space; mitochondrial matrix; response to iron(II) ion; response to oxidative stress",0.00E+00,0.00E+00,1.55E-03,9.42E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,3.02E-04,3.34E-04,1.64E-03,3.28E-04,1.84E-01,8.28E-04,2.26E-04,1.80E-03,2.38E-04,4.61E-01,6.31E-04,5.45E-04,1.83E-03,1.91E-04,3.45E-01,
Intracellular protein transport protein USO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=USO1 PE=1 SV=2,USO1 INT1 YDL058W,P25386,4.88,1790,206452.04,0,0,Cytoplasm â€º cytoskeleton. Cytoplasmic vesicle membrane; Peripheral membrane protein. Endoplasmic reticulum membrane; Peripheral membrane protein. Golgi apparatus membrane; Peripheral membrane protein. ,ER to Golgi transport vesicle membrane; ER to Golgi vesicle-mediated transport; Golgi membrane; Golgi vesicle docking; SNARE complex assembly; cytoskeleton; endoplasmic reticulum membrane; integral to membrane; intracellular protein transport; protein transporter activity; vesicle fusion with Golgi apparatus,0.00E+00,0.00E+00,9.17E-05,4.30E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,2.30E-05,2.38E-05,5.02E-06,8.69E-06,4.58E+00,1.32E-05,1.15E-05,2.98E-05,3.92E-05,4.43E-01,2.10E-05,2.15E-05,2.10E-05,9.50E-06,9.98E-01,
Resistance to glucose repression protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REG1 PE=1 SV=1,REG1 HEX2 PZF240 SPP43 SRN1 YDR028C YD9813.06C,Q00816,4.89,1014,112484.68,0,0,Nucleus. ,cellular response to glucose starvation; glycogen metabolic process; negative regulation of transcription from RNA polymerase II promoter; nucleus; protein phosphatase type 1 complex; protein phosphatase type 1 regulator activity; regulation of carbohydrate metabolic process; vacuolar protein catabolic process,6.28E-05,1.09E-04,8.11E-05,5.52E-05,7.74E-01,---,---,---,---,---,---,---,---,---,---,3.74E-04,1.20E-04,1.28E-04,6.19E-05,2.91E+00,5.68E-04,1.34E-04,8.02E-05,4.49E-05,7.08E+00,4.95E-04,3.95E-05,6.40E-05,6.24E-05,7.73E+00,
Ribosome biogenesis protein MAK21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAK21 PE=1 SV=1,MAK21 NOC1 YDR060W D4237 YD9609.14,Q12176,4.89,1025,116676.54,0,0,Nucleus â€º nucleolus. ,Noc1p-Noc2p complex; nucleolus; ribosomal large subunit assembly,1.26E-05,2.18E-05,3.34E-05,5.78E-05,3.78E-01,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Vacuolar protein sorting-associated protein 51 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS51 PE=1 SV=1,VPS51 API3 VPS67 WHI6 YKR020W,P36116,4.89,164,18911.99,0,0,Golgi apparatus â€º trans-Golgi network membrane; Peripheral membrane protein. Endosome membrane; Peripheral membrane protein. ,"GARP complex; budding cell apical bud growth; endosome membrane; protein targeting to vacuole; regulation of cell size; retrograde transport, endosome to Golgi; vesicle organization",0.00E+00,0.00E+00,1.04E-04,1.81E-04,0.00E+00,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,3.91E-04,2.48E-04,0.00E+00,0.00E+00,0.00E+00,5.05E-04,1.70E-04,0.00E+00,0.00E+00,0.00E+00,1.73E-04,1.75E-04,0.00E+00,
Altered inheritance of mitochondria protein 21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM21 PE=1 SV=1,AIM21 YIR003W YIB3W,P40563,4.91,679,74762.93,0,0,Cytoplasm â€º cytoskeleton â€º actin patch. ,actin cortical patch; actin cytoskeleton; mating projection tip; mitochondrion migration along actin filament,0.00E+00,0.00E+00,4.78E-04,7.93E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,9.63E-05,6.38E-05,1.74E-04,1.14E-04,5.54E-01,7.55E-04,1.00E-04,2.07E-04,2.12E-04,3.66E+00,5.22E-04,9.70E-05,2.62E-04,1.00E-04,1.99E+00,
Cluster of Acid phosphatase PHO12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO12 PE=1 SV=1 (PPAC_YEAST),PHO12 YHR215W,P38693,4.94,467,50966.62,3,0,0,acid phosphatase activity; fungal-type vacuole,5.88E-05,1.02E-04,3.36E-04,2.93E-04,1.75E-01,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Putative ribosomal RNA methyltransferase Nop2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP2 PE=1 SV=1,NOP2 YNA1 YNL061W N2428 YNL2428W,P40991,4.95,618,69812.23,2,0,Nucleus â€º nucleolus. ,"RNA binding; RNA methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; nucleolus; preribosome, large subunit precursor; rRNA processing",8.27E-05,9.43E-05,4.25E-05,4.15E-05,1.95E+00,---,---,---,---,---,---,---,---,---,---,0.00E+00,0.00E+00,9.10E-05,9.30E-05,0.00E+00,0.00E+00,0.00E+00,1.50E-04,1.36E-04,0.00E+00,3.90E-05,6.75E-05,6.07E-05,2.63E-05,6.42E-01,
Cell wall integrity sensor MID2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MID2 PE=1 SV=1,MID2 KAI1 SMS1 YLR332W L8543.19,P36027,4.95,376,36321.99,0,0,Cell membrane; Single-pass type I membrane protein. ,UFP-specific transcription factor mRNA processing involved in endoplasmic reticulum unfolded protein response; cell morphogenesis involved in conjugation; fungal-type cell wall organization; integral to plasma membrane; mating projection tip; peroxisome degradation; response to acid; response to osmotic stress; transmembrane signaling receptor activity,0.00E+00,0.00E+00,4.55E-05,7.87E-05,0.00E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Protein KRI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRI1 PE=1 SV=1,KRI1 YNL308C N0388,P42846,5.03,591,68653.81,0,0,Nucleus â€º nucleolus. ,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); nucleolus",2.37E-04,4.11E-04,1.67E-04,2.51E-05,1.42E+00,0.00E+00,0.00E+00,4.97E-05,8.61E-05,0.00E+00,---,---,---,---,---,0.00E+00,0.00E+00,4.86E-05,8.41E-05,0.00E+00,4.13E-05,7.16E-05,1.50E-05,2.60E-05,2.76E+00,4.04E-05,7.00E-05,0.00E+00,0.00E+00,---,
