,Accession Number,Particle Size,Particle Charge,Solvent Conditions,Average Predicted Value,True Value,% Error Difference,Min,Max,Standard Deviation
1519,P0CX37,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0016015366160805902,0.00152,0.05364251057933558,0.0010935706356190557,0.0019728306352380987,0.0002223991783345983
1520,P39730,10 nm,Negative,10 mM NaPi pH 7.4,0.0002874679854148146,0.000139,1.0681150029842779,0.00022925245337142877,0.00033063553763492065,5.233988647547824e-05
1521,Q02642,10 nm,Positive,10 mM NaPi pH 7.4,0.001691934916195762,0.00319,0.4696128789354978,0.0012356391077460297,0.0019523341618095202,0.00029072302463663046
1522,P0CX31,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0061258207069576735,0.00195,2.1414465163885503,0.0056743579207618935,0.006725446815714275,0.00038362211280710526
1523,Q99383,10 nm,Positive,10 mM NaPi pH 7.4,0.0007117412913280386,0.000169,3.21148693093514,0.0005246474352380941,0.0008663721700000025,9.835967101784625e-05
1524,Q99383,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0005898338332557279,0.000517,0.14087782061069223,0.0004937104863809526,0.0006872058877142806,5.447201508990108e-05
1525,P02400,10 nm,Negative,10 mM NaPi pH 7.4,0.0027497607770546823,0.00462,0.4048136846201986,0.002582737425714312,0.0029524651380952453,0.00012648938757295797
1526,P12709,100 nm,Negative,10 mM NaPi pH 7.4,0.00301515198463494,0.00112,1.6920999862811967,0.0022651503881904967,0.004170839316476176,0.0008002008480364638
1527,P04806,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0012742581945158673,0.00109,0.16904421515217177,0.0011010983598412683,0.0015492264561904662,0.00013084334141491818
1528,P38720,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0015365540950793715,0.000537,1.8613670299429637,0.0014271659398095299,0.0017326652651428556,0.00012996156240684969
1529,Q03690,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.00010363615973386263,3.01e-05,2.4430617851781604,9.851192953333333e-05,0.00011337937414285784,7.127299374140016e-06
1530,P07170,10 nm,Negative,10 mM NaPi pH 7.4,0.0037062649694190554,0.00481,0.22946674232452072,0.002816236007619055,0.004805931828571348,0.0007221578384723676
1531,P38249,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0005226015873279769,0.000215,1.4307050573394273,0.00044506379161905177,0.0008658479275079407,0.00015292685939777528
1532,Q12690,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.003457621274478337,0.00415,0.16683824711365378,0.002998291182380965,0.003715787694603175,0.00029207461356022744
1533,P00817,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0034611584518265594,0.00241,0.4361653327081161,0.0025932104714285805,0.00434898234761906,0.0005363804724618271
1534,P07284,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0004928879512485953,0.000257,0.9178519503836393,0.0002695259250412709,0.0008252258672698442,0.00015106361088797326
1535,P02407,10 nm,Positive,10 mM NaPi pH 7.4,0.00531173059733915,0.00405,0.31153841909608654,0.0047493420285714735,0.005943712818412743,0.00038216940252532657
1536,P02407,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.004783140236480729,0.00344,0.3904477431630027,0.00404715507142854,0.005504713608571438,0.00038822667577570935
1537,P05317,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0016716570677883494,0.00172,0.028106355937006153,0.001470305443142847,0.0018188034364761926,0.00011634571264177214
1538,P32454,10 nm,Negative,10 mM NaPi pH 7.4,0.00014506006370920596,0.000201,0.27830814075021915,0.00011994958326984158,0.0001633716651904765,1.1468799384747018e-05
1539,P31116,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0018358307827517181,0.000905,1.028542301383114,0.0011921265059682497,0.0036026377822856964,0.0009563854917794873
1540,Q05506,10 nm,Negative,10 mM NaPi pH 7.4,0.0006543272426993188,0.000627,0.04358411913766957,0.0005643366309841265,0.0007852070510793647,6.680802430289168e-05
1541,P43616,100 nm,Negative,10 mM NaPi pH 7.4,0.0015579941577310668,0.0011,0.4163583252100606,0.001365165826400015,0.0018169229651111166,0.00011775598859578996
1542,Q01855,10 nm,Positive,10 mM NaPi pH 7.4,0.004127053063136529,0.000728,4.669028932879848,0.003446940124952369,0.004709047682857169,0.0003356171567012829
1543,P0C0W9,10 nm,Negative,10 mM NaPi pH 7.4,0.0023701835942381085,0.00175,0.3543906252789191,0.0018942321744761903,0.0026931189735238197,0.00022566593563867494
1544,P29952,10 nm,Positive,10 mM NaPi pH 7.4,0.0006260079202598334,0.000576,0.08681930600665524,0.000377740483142854,0.0007823571799999943,0.000153627744721497
1545,P48589,10 nm,Negative,10 mM NaPi pH 7.4,0.0024464888987301716,0.00409,0.40183645507819765,0.0022699388895238313,0.002582666794285726,0.0001317471558498431
1546,P38972,10 nm,Negative,10 mM NaPi pH 7.4,0.00019975615689659821,0.000216,0.07520297733056379,0.00013789116303809486,0.0002845910213428573,5.6427457673307124e-05
1547,P31373,10 nm,Positive,10 mM NaPi pH 7.4,0.002471537967149934,0.00283,0.12666502927564166,0.0017007121441904782,0.005742347728653918,0.0009675566885396053
1548,P05319,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0028646894542857125,0.0042,0.31793108231292555,0.00264911298349206,0.003270040919999989,0.00023043617877927935
1549,P05319,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.003933723883419941,0.00722,0.4551628970332492,0.003174439254285706,0.004405709558095275,0.00043904589858143647
1550,P41940,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0013442666136893318,0.000366,2.6728596002440757,0.0010584003527618951,0.001530870352857129,0.00015212873643223295
1551,P05756,10 nm,Negative,10 mM NaPi pH 7.4,0.00299246095109207,0.00463,0.3536801401529006,0.0027368952930158794,0.003264070498730175,0.00017847197856493067
1552,P15625,10 nm,Negative,10 mM NaPi pH 7.4,0.00026158553372987,0.00101,0.7410044220496338,0.00019235651066666797,0.0003276976535714296,4.770720698433849e-05
1553,P47143,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0008194447789317473,7.14e-05,10.476817632097301,0.0005400385271428556,0.0010881787777142875,0.000195020069805457
1554,P00890,100 nm,Negative,10 mM NaPi pH 7.4,0.0006494831583514727,0.00122,0.4676367554496125,0.0005711938196825366,0.000711659542412695,3.437401023870347e-05
1555,P00890,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0007275106807499996,0.000817,0.10953405048959663,0.0006238614350476165,0.0007787542036190444,4.949021412204865e-05
1556,P22146,10 nm,Negative,10 mM NaPi pH 7.4,0.0006010514186519527,0.00066,0.08931603234552614,0.0005667305210476228,0.0006204391559307422,1.7894641831606924e-05
1557,P22146,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.000594867054369824,0.00092,0.353405375684974,0.0005617454143982713,0.0006168346618412753,2.2329007401441733e-05
1558,P38061,10 nm,Negative,10 mM NaPi pH 7.4,0.003176256930838097,0.00274,0.1592178579701084,0.0029637326641904775,0.003377460847936506,0.0001538788858630141
1559,P10963,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.001085859829579358,0.00149,0.2712350137051289,0.001029148400666661,0.0011715750449523702,6.474940985442075e-05
1560,P34216,10 nm,Negative,10 mM NaPi pH 7.4,3.079043711849905e-05,9.29e-06,2.314363521905172,2.7233681295237865e-05,3.277018421904738e-05,2.224224239095272e-06
1561,P00360,100 nm,Negative,10 mM NaPi pH 7.4,0.011467742585542359,0.0117,0.019851061064755676,0.009247681748095236,0.015517049724444445,0.0016110569301650704
1562,P34760,10 nm,Negative,10 mM NaPi pH 7.4,0.0028346117230952346,0.0013,1.1804705562271036,0.0026832092647618984,0.003017906202222218,0.00016891841321520494
1563,P0CX49,10 nm,Negative,10 mM NaPi pH 7.4,0.0027155225597142877,0.0015,0.8103483731428585,0.0025966805187301735,0.0030347464222222342,0.00012227156360561375
1564,P19882,100 nm,Negative,10 mM NaPi pH 7.4,0.0008556904655937961,0.000441,0.9403411918226671,0.0007385270149047681,0.0009410230539826859,6.221404848216526e-05
1565,P53278,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.00037352187573259145,0.000127,1.9411171317526887,0.0003241190270539672,0.000408484418000001,2.88570796889825e-05
1566,P41338,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0011828939323111254,0.00164,0.27872321200541134,0.0011000477904444545,0.0012647986477333617,6.637370732480678e-05
1567,Q05775,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.001980225551476218,0.00162,0.22236145152852965,0.0019044970615238366,0.0021128744395238473,9.22867677348559e-05
1568,Q12363,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0010829880721238052,0.000466,1.3240087384631012,0.0009851903284126924,0.0012026754134285753,6.189992183111152e-05
1569,Q12363,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0009781092164473332,0.000599,0.632903533301057,0.0007539965262539836,0.001233520991047625,0.00015744417457557222
1570,P35732,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.00045348919465476194,0.000792,0.4274126330116642,0.00032245413047618727,0.0005773861561904768,0.00010157128958397276
1571,P31787,10 nm,Negative,10 mM NaPi pH 7.4,0.0023345097454867607,0.00453,0.4846556853230109,0.0014682316061904845,0.0031444360010476004,0.0007185015518165384
1572,P09938,10 nm,Negative,10 mM NaPi pH 7.4,0.0009504917742645462,0.000319,1.9795980384468534,0.0008701745137142807,0.0010667406109523762,8.561218830240437e-05
1573,P09938,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0008182558953333285,0.00127,0.35570401942257607,0.0006889390280952312,0.0010465182513333317,0.000124515963878155
1574,P08566,100 nm,Negative,10 mM NaPi pH 7.4,0.00040095299645459705,8.56e-05,3.6840303324135175,0.00026274706777777826,0.0005442439825809526,7.41878018831242e-05
1575,P0CX41,100 nm,Negative,10 mM NaPi pH 7.4,0.0022025489220230143,0.00268,0.17815338730484545,0.0017482049296190546,0.0027628416538095285,0.00033286862439601937
1576,P53090,100 nm,Negative,10 mM NaPi pH 7.4,0.0007734882729883657,0.000611,0.26593825366344626,0.0006754303864761896,0.0008609662292698418,5.3646364345995676e-05
1577,P25491,100 nm,Negative,10 mM NaPi pH 7.4,0.0003608157820952364,0.000449,0.1964013761798744,0.0003424834388571416,0.0004396702298095243,3.04191122955863e-05
1578,P38701,100 nm,Negative,10 mM NaPi pH 7.4,0.002620734539211638,0.00319,0.17845312250418874,0.002320727314666645,0.002780462271746023,0.00016847981629824045
1579,P38701,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0023890652551519275,0.00168,0.4220626518761472,0.0018588819607619044,0.0035859728879365344,0.00044576677285278947
1580,P26785,10 nm,Negative,10 mM NaPi pH 7.4,0.002056882203626792,0.00237,0.1321172136595815,0.001630428341428576,0.0029062262901587387,0.0004368459009128797
1581,P38708,10 nm,Positive,10 mM NaPi pH 7.4,0.00019486103524062626,0.000134,0.45418683015392725,0.00015114711476190543,0.00021943513295238231,1.8966221217331448e-05
1582,P32527,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.00037071590812698277,0.000167,1.219855737287322,0.000252224803904761,0.0006123097299365099,9.695811694668552e-05
1583,P27476,10 nm,Negative,10 mM NaPi pH 7.4,0.0006777409229047586,0.000307,1.2076251560415592,0.0004959437536190488,0.0007864079646031624,0.00010000831350387872
1584,P27476,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.00046506506975237615,0.00101,0.5395395348986375,0.0004341122853333257,0.0005140411175238073,3.093941811564963e-05
1585,P40414,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.001155552237580243,0.000675,0.7119292408596192,0.000946587530476185,0.0013901651823809533,0.00015420143667898022
1586,P47120,10 nm,Negative,10 mM NaPi pH 7.4,0.0002886688480257928,0.000314,0.08067245851658332,0.0001736762288095237,0.000769104704523806,0.00019757463167550187
1587,P06367,10 nm,Positive,10 mM NaPi pH 7.4,0.002030415317165063,0.000868,1.3391881534159715,0.0013817289819682695,0.0023767648538094988,0.0002765144782354591
1588,P02406,10 nm,Negative,10 mM NaPi pH 7.4,0.002679686355862438,0.00162,0.654127380161999,0.0025305722009523837,0.0028294184085714256,0.00010654677101216957
1589,P48836,100 nm,Negative,10 mM NaPi pH 7.4,0.003295486090904164,0.00203,0.6233921630069771,0.002679542770793639,0.0036520978382539484,0.0003420111881567965
1590,P48836,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0029761326988424737,0.0038,0.2168071845151385,0.002513410874603161,0.0034632622760634654,0.00037626385187449315
1591,P23542,10 nm,Negative,10 mM NaPi pH 7.4,0.0007037463362653395,0.000851,0.1730360325906704,0.00048194193744126974,0.000774722866190475,0.00010128036970915907
1592,P05749,100 nm,Negative,10 mM NaPi pH 7.4,0.002451425367233579,0.00187,0.31092265627464133,0.0022467560013651015,0.002637000722158752,0.00013443241439874438
1593,P46367,10 nm,Negative,10 mM NaPi pH 7.4,0.00011193042414994915,0.000686,0.836836116399491,9.437425278845702e-05,0.00016441587171428515,2.115602416960785e-05
1594,Q12074,10 nm,Negative,10 mM NaPi pH 7.4,0.0012912354913969953,0.00117,0.10362007811708998,0.0010747322121904869,0.0013813893972698334,8.804342052869289e-05
1595,P32499,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.00032870514786349634,0.000582,0.43521452257131216,0.00027890282761905,0.00034220359710476864,1.9938203961487868e-05
1596,P48510,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.000447532718698414,0.00189,0.7632102017468709,0.00020537089190476109,0.0007369001143492113,0.00024834419540768955
1597,Q07653,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0006667650154015875,0.00176,0.6211562412490981,0.0003522273746666656,0.0011084102220634891,0.00021194739070281869
1598,P37012,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0012402408246694858,0.00177,0.2992989691132849,0.0009444588379365072,0.0017038917275809435,0.00020969480317552453
1599,P25375,100 nm,Negative,10 mM NaPi pH 7.4,0.00010540997139637178,3.31e-05,2.1845912808571537,6.837694203174579e-05,0.00015497534661904685,2.815424697727516e-05
1600,Q03048,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.004346892729117831,0.0049,0.11287903487391202,0.0036471277361904953,0.004705108906666657,0.0003191620464894118
1601,Q03048,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.004615787074948144,0.00392,0.17749670279289384,0.003810594555873027,0.00526702240476188,0.00038400067556781616
1602,Q12019,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,2.6101117551058266e-05,1.24e-05,1.1049288347627635,1.8693585095238168e-05,3.09827204777774e-05,4.2789979891118476e-06
1603,Q12305,10 nm,Positive,10 mM NaPi pH 7.4,0.0014546712865220353,0.000665,1.1874756188301283,0.001236618376349192,0.0019454396644126924,0.00020739277306054327
1604,P17891,10 nm,Negative,10 mM NaPi pH 7.4,0.0005837593727714299,0.000272,1.1461741646008454,0.00038442589555555076,0.0006756782279682549,8.603081466206464e-05
1605,P15454,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0013738709791544074,0.000384,2.5777890082146024,0.0011838669400000103,0.0017433780821904776,0.00018156660799576482
1606,P0CX25,100 nm,Negative,10 mM NaPi pH 7.4,0.0039702669085771684,0.00455,0.1274138662467762,0.0035521489895237943,0.004179602851082217,0.0002268064052488277
1607,P33399,10 nm,Negative,10 mM NaPi pH 7.4,0.0007793130775650782,0.000233,2.3446913200217945,0.0006545629870476198,0.0008370927671746001,6.124879430831753e-05
1608,P48570,100 nm,Negative,10 mM NaPi pH 7.4,0.00028777397840362934,0.000419,0.31318859569539537,0.00025361795152381057,0.0003307760253333333,2.513258846641038e-05
1609,P38912,100 nm,Negative,10 mM NaPi pH 7.4,0.002873810103287484,0.000845,2.400958702115366,0.002481282214603187,0.0034150995400000113,0.0003636104757088536
1610,P38912,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.003016987303431734,0.00352,0.14290133425234838,0.0025127827488571394,0.0037274034238095155,0.0003881478472053543
1611,P50095,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0008914252443730068,0.000768,0.1607099536106859,0.0006590356209523813,0.0009657682883809404,7.477448588124733e-05
1612,P38697,100 nm,Negative,10 mM NaPi pH 7.4,0.0009009332834240376,0.000837,0.07638385116372481,0.0007654755304761896,0.0011221951760952487,0.00011551249031952302
1613,P26784,10 nm,Negative,10 mM NaPi pH 7.4,0.002596644515384114,0.00173,0.5009505869272334,0.002240505414730163,0.002967067351746028,0.00019289809195412964
1614,P45978,100 nm,Negative,10 mM NaPi pH 7.4,0.00036072381732627857,0.000144,1.5050265092102677,0.00030914403238095265,0.0004521395293650806,4.6170360801069014e-05
1615,P45978,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.00035640992827645394,0.000415,0.1411808957193881,0.00031834081076190365,0.0004307521807936481,3.111141775143888e-05
1616,P22217,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.004247426055058183,0.0045,0.05612754332040367,0.004002867462095215,0.0045464930952380765,0.00020557232338673016
1617,P38431,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.00018728786072909928,0.000324,0.42195104713240966,0.00015645406504126915,0.00020814036290476022,1.8606784434527986e-05
1618,P38845,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.000349403261942041,0.00129,0.7291447581844642,0.0003032230446666689,0.0003863695850476216,3.265870216824337e-05
1619,P22138,100 nm,Negative,10 mM NaPi pH 7.4,0.00030197415860846587,9.49e-06,30.820248536192395,0.00026048358361269847,0.00037338902461904905,3.821379368656021e-05
1620,P40037,10 nm,Positive,10 mM NaPi pH 7.4,0.003788458230640687,0.00582,0.3490621596837307,0.0029039481509523634,0.005190602295142893,0.0007559965228193387
1621,P15108,10 nm,Negative,10 mM NaPi pH 7.4,0.001736384625751795,0.00114,0.5231444085542063,0.0012929859629523827,0.0020455788119047576,0.0002362752147129566
1622,P39958,10 nm,Negative,10 mM NaPi pH 7.4,0.00028842535018253816,0.000169,0.7066588768197526,0.0002759070233333322,0.00032084767069841063,2.1726697306970895e-05
1623,P06106,100 nm,Negative,10 mM NaPi pH 7.4,0.000477653902728746,0.000139,2.4363590124370216,0.00030886880111110753,0.0006621205187619038,0.0001126941682348482
1624,P40075,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0003989325211375703,0.000199,1.0046860358671872,0.00037016999152381385,0.00043874887606349614,3.0781863075523426e-05
1625,P38968,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,5.048605808369422e-05,9.46e-06,4.336792609270002,4.501820831428589e-05,5.622819752380954e-05,3.3504769031980466e-06
1626,P17106,100 nm,Negative,10 mM NaPi pH 7.4,0.00023991877547817475,3.78e-05,5.347057552332665,0.00011952522982539571,0.00029471172566666854,5.372966661194369e-05
1627,P06101,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0005205513585746045,0.00113,0.5393350809074295,0.0003502066067682535,0.0008156893362063487,0.00012538510393184338
1628,P36136,100 nm,Negative,10 mM NaPi pH 7.4,0.00032209337999801306,0.000289,0.11450996539104873,0.0002862952549047595,0.0003524843707142834,2.129491260015245e-05
1629,P41818,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0016096512237561286,0.000973,0.6543178044770077,0.0014057291077142807,0.0018072567990476149,0.00012456346737929185
1630,Q3E795,100 nm,Negative,10 mM NaPi pH 7.4,0.0028040266671976685,0.00115,1.4382840584327552,0.0022218254137142688,0.003193450733968222,0.00031520722692621406
1631,P17649,100 nm,Negative,10 mM NaPi pH 7.4,0.0004976113850211067,0.000202,1.4634226981242904,0.00033514391619047726,0.000858014764326119,0.00019722261289667231
1632,P28240,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0007967758488119047,0.000278,1.866100175582391,0.0005764244791428577,0.0010877133872380983,0.00015920660868234406
1633,P00447,10 nm,Negative,10 mM NaPi pH 7.4,0.003514720337142882,0.000547,5.425448513972363,0.002390403202380958,0.0044186989505714605,0.0006501773212698031
1634,P00447,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.003185183544958829,0.0059,0.4601383822103679,0.0016243363072583116,0.004381294181238122,0.0006948066585489564
1635,P11633,10 nm,Negative,10 mM NaPi pH 7.4,0.0012569364727934107,0.000899,0.39814958041536236,0.0009719136980952394,0.0016856007726551187,0.0002507996859142354
1636,P36010,100 nm,Negative,10 mM NaPi pH 7.4,0.0014735451146422383,0.000289,4.098772022983524,0.0011739315292380935,0.0017124247950476175,0.00018328104741817736
1637,P36010,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0013735446769047469,0.00152,0.09635218624687711,0.0011593980575238013,0.001834449351428554,0.00019991258915613605
1638,P33331,10 nm,Negative,10 mM NaPi pH 7.4,0.0013766974777650709,0.000509,1.7047101724264653,0.0012227028766666596,0.001627485535714279,0.00011100809422532241
1639,Q12178,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0012267318908940371,0.00115,0.06672338338611927,0.0009394895087705578,0.0017278500081904745,0.00022482481178440623
1640,P28241,10 nm,Negative,10 mM NaPi pH 7.4,0.002256386763822745,0.000518,3.3559590035188127,0.0010850245884761857,0.005219161246476174,0.0016155482201907724
1641,P28241,100 nm,Negative,10 mM NaPi pH 7.4,0.00281827508342063,0.000756,2.7278770944717325,0.0011924845619047672,0.005273012100698395,0.001804664180112731
1642,P49167,10 nm,Negative,10 mM NaPi pH 7.4,0.0018073064466486311,0.00375,0.5180516142270317,0.001543327382857153,0.0021740071031745986,0.00020639843867704534
1643,P49167,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0022451409357672077,0.00102,1.2011185644776545,0.001661398665569989,0.0026719692730159,0.0004058725748259756
1644,P11353,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0008764077895255744,0.00127,0.3099151263578155,0.0006931944866666701,0.0009887133866666703,0.00010966456654324138
1645,P15703,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.001234401887184416,0.00137,0.09897672468290798,0.0005530032585714298,0.0019964012429841476,0.00047681115149360385
1646,Q06177,10 nm,Positive,10 mM NaPi pH 7.4,0.008518026750627877,0.00369,1.3084083335034895,0.007255291367682503,0.01140929147904771,0.0012140771474432482
1647,P00498,10 nm,Negative,10 mM NaPi pH 7.4,0.00036610829189286033,0.000642,0.4297378630952331,0.0002847263318095261,0.0004844516121904794,7.302227656352696e-05
1648,P15873,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.000660527384630957,0.000467,0.4144055345416638,0.0005519296127619089,0.000761298172380958,7.588372693137988e-05
1649,P33442,100 nm,Negative,10 mM NaPi pH 7.4,0.003716686014949934,0.00462,0.19552250758659437,0.0029976397973333294,0.004262563873428561,0.0004549064182876686
1650,P48164,10 nm,Negative,10 mM NaPi pH 7.4,0.0023186467254550256,0.00334,0.30579439357633964,0.001951985056571432,0.0029068250442857236,0.00036940372729418546
1651,P53334,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.00022165877126454923,9.94e-05,1.2299675177520042,0.00017797927377777737,0.00034681324390476164,5.309961537258792e-05
1652,P30902,100 nm,Negative,10 mM NaPi pH 7.4,0.0008874187563439221,0.000461,0.9249864562774884,0.0007558468197460398,0.001155458673460312,0.0001250779999120107
1653,P07267,10 nm,Negative,10 mM NaPi pH 7.4,0.0005066430911245434,0.000188,1.6949100591731034,0.00043900516371428677,0.0008577391468571476,0.00011349277733907966
1654,Q08412,100 nm,Negative,10 mM NaPi pH 7.4,0.0008224781250615089,0.000129,5.375799419081464,0.0005122581943809576,0.001272189575301581,0.0002799452539018966
1655,P23248,100 nm,Negative,10 mM NaPi pH 7.4,0.004095205781738923,0.0046,0.10973787353501674,0.0034794571985714362,0.004414255324761871,0.00035835941322445833
1656,P23248,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0014453275057018783,0.000352,3.1060440502894267,0.0011306541295873001,0.0019865454182222183,0.0002578397264755904
1657,P47116,10 nm,Negative,10 mM NaPi pH 7.4,3.1511065678445305e-05,7.76e-05,0.5939295659994162,2.1974253101587316e-05,5.4404293600000285e-05,9.71365107454195e-06
1658,P47116,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,5.327520602431452e-05,1.56e-05,2.415077309250931,3.7367026971428715e-05,6.0619742714285754e-05,6.607544198090482e-06
1659,P11632,100 nm,Negative,10 mM NaPi pH 7.4,0.0014563735273832267,0.000531,1.7426996749213308,0.001228408368349219,0.0018128257520634871,0.00020741730616915432
1660,P14306,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0006960443918571413,0.0003,1.320147972857138,0.0004549604333333309,0.0009354534551428582,0.00017708650734467364
1661,P14306,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0006767137687365023,0.0014,0.5166330223310698,0.00042026775542856773,0.0009295526082698313,0.00012668588101283414
1662,P32628,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0002579795414290514,8.74e-05,1.951711000332396,0.00017466148792063329,0.00040470272168253605,6.822561151421789e-05
1663,P38616,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0003808560390099187,0.000694,0.4512160821182727,0.00020731721552380935,0.0009702164050476112,0.00025504654015682393
1664,P00427,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0027738618509100567,0.0091,0.6951800163835102,0.0015805583953333387,0.004001713748888897,0.0012109473595772007
1665,Q3E754,10 nm,Positive,10 mM NaPi pH 7.4,0.016167775677918758,0.0075,1.1557034237225012,0.013588300895238098,0.021470432179999728,0.0024591812709948806
1666,P17555,100 nm,Negative,10 mM NaPi pH 7.4,0.00021410545946209096,5.87e-05,2.6474524610236965,0.00017820390109523967,0.00025265653557142995,2.4156054887266014e-05
1667,P17555,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0001812374970611838,0.000206,0.1202063249457097,0.00015556860001587314,0.0002106549145800857,1.4933781432095171e-05
1668,P17076,100 nm,Negative,10 mM NaPi pH 7.4,0.0046332179095873016,0.00617,0.24907327235213916,0.004180129358253964,0.005470846374285707,0.0006097579570575638
1669,P17076,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0012029674786258602,0.000656,0.833791888149177,0.0008924787914285744,0.0018344979932381174,0.00024100738009553825
1670,P04051,100 nm,Negative,10 mM NaPi pH 7.4,0.0003702427979380951,2.73e-05,12.562007250479674,0.0003053057633047616,0.0005495428679428572,6.238491409388814e-05
1671,P06633,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0006380455925238106,0.000389,0.6402200321948857,0.00039443829809523854,0.0012832664675714214,0.0002695717310682086
